loc12,loc23,tail,spread,cyclic,tau_align,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,score_ckm,score_pmns,score
0.34,0.1,0.0,1.15,0.1,0.85,0.09636396131881927,0.015835020517079065,0.007876227374177508,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.16117724553827917,0.4133567774508578,0.5745340229891369
0.34,0.22,0.0,1.15,0.1,0.85,0.097747985151935,0.015187488819501173,0.008781855587106925,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.16134638161567075,0.4133567774508578,0.5747031590665286
0.34,0.34,0.0,1.15,0.1,0.85,0.09794609193330403,0.01544301113014371,0.010348922081396556,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.16245981901794884,0.4133567774508578,0.5758165964688067
0.34,0.46,0.0,1.15,0.1,0.85,0.09713397369851194,0.016067934115462885,0.012960626705457673,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.16525871889148286,0.4133567774508578,0.5786154963423407
0.34,0.22,0.06,1.15,0.1,0.85,0.09023719563130382,0.02350800125691051,0.015031249908413369,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.16678605302019905,0.4133567774508578,0.5801428304710569
0.34,0.22,0.03,1.15,0.1,0.85,0.0940292697258568,0.015519369026140118,0.01152554477142997,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.16747690601943305,0.4133567774508578,0.5808336834702909
0.34,0.34,0.06,1.15,0.1,0.85,0.09080927707467691,0.02364360608729466,0.01655313520056797,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.1676002520385964,0.4133567774508578,0.5809570294894542
0.34,0.34,0.03,1.15,0.1,0.85,0.09441379808510908,0.01598770985032063,0.013244824179716888,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.1683433162442872,0.4133567774508578,0.581700093695145
0.34,0.1,0.03,1.15,0.1,0.85,0.09248227152946964,0.014210422614783948,0.01093014071472461,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.16973744657047105,0.4133567774508578,0.5830942240213288
0.34,0.1,0.06,1.15,0.1,0.85,0.08852474588384879,0.02163137207938871,0.014774167600891917,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.17011804963765442,0.4133567774508578,0.5834748270885122
