N_gen,winding,asym,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std,nonorth_mean,nonorth_std,p3_gap_mean,p3_gap_std
3,-12,-0.1,0.0,2.491843378068752,0.0,3.0,0.0,1.216817404666421,0.0,0.13884610479928275,0.0,,
3,-12,-0.1,0.0001,2.4918324673372267,0.00018365764504530351,3.0,0.0,1.2168311426424405,9.093259393304583e-05,0.13885306998452587,5.267093585466555e-05,,
3,-12,-0.1,0.0003,2.4917944973091344,0.0005731017581169943,3.0,0.0,1.216794158042409,0.0002680879836587527,0.1388383769251668,0.00015468749187508708,,
3,-12,-0.1,0.001,2.491683894999607,0.001793662712925706,3.0,0.0,1.2169197239300544,0.0009113493393971316,0.13891254094712707,0.0005284531718564294,,
3,-12,-0.1,0.003,2.4926301977876286,0.0070098971714615274,3.0,0.0,1.2166200978988346,0.003650559322788465,0.1387322425775171,0.0021009196446362985,,
3,-12,-0.1,0.01,2.4860013592242605,0.02031263602443898,3.0,0.0,1.2191409182907107,0.01088044537363095,0.1404389723176411,0.00618954946886143,,
3,-12,-0.07,0.0,2.54796676031556,0.0,3.0,0.0,1.190483601187008,0.0,0.12309232577552356,1.3877787807814457e-17,,
3,-12,-0.07,0.0001,2.5479596729833167,0.0002300063715826426,3.0,0.0,1.1904705747997681,8.995439822967387e-05,0.12308613993206648,5.224523979359156e-05,,
3,-12,-0.07,0.0003,2.547886677353275,0.0007524675699993836,3.0,0.0,1.1905510959981114,0.00031371627625728323,0.12312951357610188,0.00018884064146610882,,
3,-12,-0.07,0.001,2.5475976549216632,0.0019736956400281717,3.0,0.0,1.19070498640639,0.000855643320802357,0.12322411250503848,0.0004939983797873691,,
3,-12,-0.07,0.003,2.548390852208487,0.006706375952937766,3.0,0.0,1.1900846037617319,0.0028061152849077208,0.12292014890781551,0.0016893052753901331,,
3,-12,-0.07,0.01,2.5487239438966154,0.020647818521681086,3.0,0.0,1.1913147333285872,0.00919862720595197,0.12379152848365815,0.005316401860640317,,
3,-12,-0.03,0.0,2.5941377890477932,0.0,3.0,0.0,1.16820949040514,0.0,0.10971057744082872,1.3877787807814457e-17,,
3,-12,-0.03,0.0001,2.5940558353198853,0.00021791890778375018,3.0,0.0,1.1682498897181819,9.650658694830037e-05,0.1097353253287809,5.8139732131211105e-05,,
3,-12,-0.03,0.0003,2.5941828929914896,0.000680467330853025,3.0,0.0,1.1682194439552205,0.00031474265343384237,0.10971544999222353,0.00018545721867309803,,
3,-12,-0.03,0.001,2.594043757818182,0.002758320855074359,3.0,0.0,1.1683126697338833,0.0011485470705940777,0.10978170574926305,0.0006914481653941664,,
3,-12,-0.03,0.003,2.5937687204652127,0.007506352803984954,3.0,0.0,1.168742623099954,0.0029528158261096023,0.11005818422784892,0.001804602326747753,,
3,-12,-0.03,0.01,2.5919011620533157,0.0225314102356559,3.0,0.0,1.1697196330829551,0.010137632018143607,0.11104811976134525,0.006001046814917616,,
3,-12,0.0,0.0,2.5995144595745763,0.0,3.0,0.0,1.1644569550340398,0.0,0.10749186198092067,0.0,,
3,-12,0.0,0.0001,2.5995842736614185,0.00016232092183067587,3.0,0.0,1.1644228944772927,8.325073242791239e-05,0.1074705591901868,4.875365607649578e-05,,
