N_gen,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std
1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,0.0001,1.0,0.0,1.0,0.0,1.0,0.0
1,0.0003,1.0,0.0,1.0,0.0,1.0,0.0
1,0.001,1.0,0.0,1.0,0.0,1.0,0.0
1,0.003,1.0,0.0,1.0,0.0,1.0,0.0
1,0.01,1.0,0.0,1.0,0.0,1.0,0.0
2,0.0,1.9457093210123921,2.220446049250313e-16,2.0,0.0,1.0283031477848188,2.220446049250313e-16
2,0.0001,1.9457151994330624,0.00021638783377418336,2.0,0.0,1.0282999720813168,0.00011764556150757109
2,0.0003,1.9456318016502672,0.0007949188333199736,2.0,0.0,1.0283455676024273,0.00043215782890672615
2,0.001,1.9457061561549807,0.0029936489370068617,2.0,0.0,1.028308729447624,0.001626421543188158
2,0.003,1.945809324722714,0.007969886097407631,2.0,0.0,1.0282761085918763,0.004324643979239036
2,0.01,1.95040373752463,0.02474211847032665,2.0,0.0,1.0260215317050059,0.013374194066507014
3,0.0,2.6005241573037168,0.0,3.0,0.0,1.1643371851467152,0.0
3,0.0001,2.600531925852208,0.0003992341802760527,3.0,0.0,1.164350891622631,0.00016358826905674695
3,0.0003,2.600573737449969,0.0011035934514433759,3.0,0.0,1.1643259303614193,0.0005031813622790953
3,0.001,2.6000367130519293,0.0035275831874543528,3.0,0.0,1.1644967321734296,0.0015885004162451315
3,0.003,2.5993879224414043,0.011291703579505154,3.0,0.0,1.1644926910301394,0.004667397483188491
3,0.01,2.5925591085686754,0.035357850466950114,3.0,0.0,1.1680083605222036,0.01640156942013392
4,0.0,3.2927476505044355,4.440892098500626e-16,4.0,0.0,1.2318230388465097,2.220446049250313e-16
4,0.0001,3.292753258319246,0.00046719874329195505,4.0,0.0,1.2318130292661267,0.0001627103353407176
4,0.0003,3.2927009254293713,0.0015074329568831714,4.0,0.0,1.2318977640987367,0.0005186898843894139
4,0.001,3.292449211936135,0.005066839881860423,4.0,0.0,1.2319952384862607,0.0017283484506029597
4,0.003,3.2949974362540453,0.015358142726486883,4.0,0.0,1.2320458575063356,0.005534405362281604
4,0.01,3.301467476708777,0.0551367983500375,4.0,0.0,1.2296608014039403,0.01749871489793738
5,0.0,4.09524550859134,0.0,5.0,0.0,1.2342405909971323,2.220446049250313e-16
5,0.0001,4.0951817834747475,0.0005764632874692388,5.0,0.0,1.234259183484287,0.00017714815823413924
5,0.0003,4.095603356478263,0.001858108850988612,5.0,0.0,1.2340758750246157,0.0005460802429424596
5,0.001,4.095817799481016,0.006289291250728167,5.0,0.0,1.234070683520907,0.0016647061528560429
5,0.003,4.094896286893361,0.020068772467648134,5.0,0.0,1.2340725770306515,0.00552132071565327
5,0.01,4.101634480893293,0.062077681738371464,5.0,0.0,1.2323256035255212,0.016828576876461478
6,0.0,4.904128717450446,8.881784197001252e-16,6.0,0.0,1.237784147559831,2.220446049250313e-16
6,0.0001,4.9040986609863095,0.0007002083507582587,6.0,0.0,1.2377886023792914,0.00016866473733467152
6,0.0003,4.904058386757162,0.0026084802066227027,6.0,0.0,1.237811380698059,0.0005319935686316238
6,0.001,4.904061875496829,0.00831237753967198,6.0,0.0,1.237837319102049,0.0019121627747917971
6,0.003,4.903439700156997,0.023322080371064976,6.0,0.0,1.236902560474738,0.005658249056976196
6,0.01,4.886981837500794,0.07652141322628933,6.0,0.0,1.2428322746764984,0.01916408305404569
7,0.0,5.708622259365225,8.881784197001252e-16,7.0,0.0,1.2388061800197931,0.0
7,0.0001,5.70874365113768,0.0008505317959913922,7.0,0.0,1.2387955638550683,0.0001789486527497738
7,0.0003,5.708657122848357,0.002586745471986085,7.0,0.0,1.2388287223580061,0.0005053499811219105
7,0.001,5.708560020326222,0.00900489497780975,7.0,0.0,1.2389348710984367,0.001589302032780949
7,0.003,5.713051658918076,0.027997341442418607,7.0,0.0,1.2386994761274988,0.005037084814877677
7,0.01,5.71527472936668,0.09437328992695485,7.0,0.0,1.239069101383306,0.018149067778761102
8,0.0,6.326138483322657,8.881784197001252e-16,8.0,0.0,1.2781684753350524,0.0
8,0.0001,6.3262552065893995,0.001040850211989498,8.0,0.0,1.2781574518812688,0.00020047988037845104
8,0.0003,6.32586559579565,0.0025925108023655175,8.0,0.0,1.2781830848381373,0.00048744366561529536
8,0.001,6.326873438206777,0.01170477784101952,8.0,0.0,1.2779656972787101,0.002033377667809645
8,0.003,6.323844237289896,0.03656063180745074,8.0,0.0,1.2787850958502809,0.006318955591703914
8,0.01,6.319082390474666,0.10022419959052828,8.0,0.0,1.2771794168224875,0.018735258559910522
