we,wnu,ae,anu,theta12,theta23,theta13,J,absJ,unitarity_defect,gap_e,gap_nu,loss
-10,12,0.06,-0.1,32.36083543210807,50.54869847075757,7.969471106996964,-0.028051439276433995,0.028051439276433995,7.054504218084087e-16,1.0940665341955875,1.087375865468829,1.4775389934344803
10,-12,0.06,-0.1,32.36083543210807,50.54869847075757,7.969471106996964,0.028051439276433995,0.028051439276433995,7.054504218084087e-16,1.0940665341955875,1.087375865468829,1.4775389934344803
-10,-8,0.0,-0.1,34.179391235454354,50.18461252843441,10.085951380948387,-0.02965582524437864,0.02965582524437864,6.144742188221712e-16,1.0760126198664983,1.1684223444701398,2.762307631800649
10,8,0.0,-0.1,34.179391235454354,50.18461252843441,10.085951380948387,0.02965582524437864,0.02965582524437864,6.144742188221712e-16,1.0760126198664983,1.1684223444701398,2.762307631800649
10,8,0.0,-0.08,33.29984068710432,50.17117797724166,10.57895105645378,0.02540854043081675,0.02540854043081675,8.749646686723998e-16,1.0760126198664983,1.1739175387917256,5.883487593726146
-10,-8,0.0,-0.08,33.29984068710432,50.17117797724166,10.57895105645378,-0.02540854043081675,0.02540854043081675,8.749646686723998e-16,1.0760126198664983,1.1739175387917256,5.883487593726146
10,-12,0.07999999999999999,-0.1,32.15188514368815,50.78309335552252,6.648170463182265,0.024718413404014213,0.024718413404014213,8.139532547199557e-16,1.104389817392146,1.087375865468829,6.5075638260192985
-10,12,0.07999999999999999,-0.1,32.15188514368815,50.78309335552252,6.648170463182265,-0.024718413404014213,0.024718413404014213,8.139532547199557e-16,1.104389817392146,1.087375865468829,6.5075638260192985
-6,12,-0.1,-0.1,28.770719230822156,48.6308998695224,9.281940998741572,-0.02741853072794225,0.02741853072794225,1.718970045456324e-15,3.0426526836490146,1.087375865468829,6.832986245176267
6,-12,-0.1,-0.1,28.770719230822156,48.6308998695224,9.281940998741572,0.02741853072794225,0.02741853072794225,1.718970045456324e-15,3.0426526836490146,1.087375865468829,6.832986245176267
6,-12,-0.08,-0.1,29.674185226503408,48.104017648614935,10.604396354538816,0.03732737917515573,0.03732737917515573,9.605483991987884e-16,3.041966809647862,1.087375865468829,8.952811655528366
-6,12,-0.08,-0.1,29.674185226503408,48.104017648614935,10.604396354538816,-0.03732737917515573,0.03732737917515573,9.605483991987884e-16,3.041966809647862,1.087375865468829,8.952811655528366
10,-8,-0.1,-0.04000000000000001,27.673306013548647,50.03522079806835,8.18158173384756,-0.026006432443509732,0.026006432443509732,1.2165545363396891e-15,1.0635732977383383,1.1819662937132152,9.978983135162588
-10,8,-0.1,-0.04000000000000001,27.673306013548647,50.03522079806835,8.18158173384756,0.026006432443509732,0.026006432443509732,1.2165545363396891e-15,1.0635732977383383,1.1819662937132152,9.978983135162588
