winding,asym,noise,theta12,theta23,theta13,J,absJ,unitarity_defect,gap34,loss
-12,-0.1,0.0,1.523896290920104e-14,6.459757372021907e-15,1.7629805919629854e-14,-5.473822126268817e-48,5.473822126268817e-48,4.0162273762021595e-16,1.087375865468829,3610.668899999998
-12,-0.1,0.0001,9.22674606870174e-15,1.3731166803281089e-14,5.118077854829215e-15,3.516151858719261e-49,3.516151858719261e-49,1.1084985507316202e-15,1.0873347449360793,3610.6688999999983
-12,-0.1,0.0003,9.913222435418481e-15,1.282422669261216e-14,1.0646802971766233e-14,-5.473822126268817e-48,5.473822126268817e-48,7.056270198356372e-16,1.0873820402786114,3610.6688999999983
-12,-0.1,0.001,1.4654088831786906e-14,1.0817439952453561e-14,8.279261850840422e-15,0.0,0.0,5.179363929316623e-16,1.0869069265416385,3610.668899999998
-12,-0.1,0.003,7.576121707179788e-15,1.0657600642302985e-14,8.965589075983153e-15,0.0,0.0,9.345435245556715e-16,1.0867107721116307,3610.6688999999988
-12,-0.09000000000000001,0.0,2.7893634966964882e-14,1.2826165922532385e-14,1.6635518391194553e-14,-1.642146637880645e-47,1.642146637880645e-47,1.4129789418539552e-15,1.0800502264627714,3610.6688999999965
-12,-0.09000000000000001,0.0001,2.5346703442448244e-15,2.3567432183748228e-14,8.676997486418736e-15,-6.842277657836021e-49,6.842277657836021e-49,2.7666299471136496e-15,1.0801590442123046,3610.6688999999983
-12,-0.09000000000000001,0.0003,5.277184471623813e-15,2.5370880478764755e-15,1.2453693452066293e-14,1.0263416486754031e-48,1.0263416486754031e-48,8.021480635186332e-16,1.0801477420279628,3610.6688999999997
-12,-0.09000000000000001,0.001,1.2016149382566175e-14,1.0642717473871514e-14,1.0382905105040562e-14,2.7369110631344083e-48,2.7369110631344083e-48,5.414025635065803e-16,1.0799188415094878,3610.6688999999983
-12,-0.09000000000000001,0.003,1.9218727196637018e-14,7.663004092706816e-15,5.188916525703761e-15,0.0,0.0,1.1427945142092166e-15,1.0793534519947496,3610.668899999998
-12,-0.08,0.0,2.3463303725347076e-14,2.8720210281881367e-15,1.176773749327949e-14,1.0947644252537633e-47,1.0947644252537633e-47,1.3632034023661117e-15,1.0719850965045037,3610.6688999999988
