N_gen,noise_strength,kappa0,t90_mean,t70_mean,t50_mean,te_mean,finalP_mean,t90_std,t70_std,t50_std,te_std
3,0.001,16.8621025075229,1001.0,1001.0,1001.0,1001.0,0.9993091834485626,0.0,0.0,0.0,0.0
3,0.003,16.8621025075229,1001.0,1001.0,1001.0,1001.0,0.9935908714260275,0.0,0.0,0.0,0.0
3,0.01,16.8621025075229,895.95,1001.0,1001.0,1001.0,0.9363230785184354,199.25673765270773,0.0,0.0,0.0
3,0.03,16.8621025075229,186.55,503.55,845.95,925.15,0.6370037627568338,111.79600842606143,256.34166165490933,251.78671033237637,164.11376389565868
4,0.001,47.10100408344988,1001.0,1001.0,1001.0,1001.0,0.9976194025144418,0.0,0.0,0.0,0.0
4,0.003,47.10100408344988,1001.0,1001.0,1001.0,1001.0,0.9816481649980059,0.0,0.0,0.0,0.0
4,0.01,47.10100408344988,596.6,992.9,1001.0,1001.0,0.8657579575655621,286.5333139444696,26.701872593509243,0.0,0.0
4,0.03,47.10100408344988,51.8,218.0,589.65,752.4,0.5059098386531752,32.350579592953196,139.56539685753054,364.5830872380122,314.96545842361826
5,0.001,120.48090401739432,1001.0,1001.0,1001.0,1001.0,0.995404877451372,0.0,0.0,0.0,0.0
5,0.003,120.48090401739432,971.3,1001.0,1001.0,1001.0,0.9667366426027282,97.17412206961275,0.0,0.0,0.0
5,0.01,120.48090401739432,357.05,797.3,848.35,890.75,0.791107700215591,291.7827059645585,307.36445793227296,270.3215261498795,231.42166601249764
5,0.03,120.48090401739432,38.65,134.75,394.1,629.5,0.41177400355295113,25.474055429004625,95.97076377730876,225.17635311017895,320.38328608090654
6,0.001,135.45931566503225,1001.0,1001.0,1001.0,1001.0,0.9951222349819779,0.0,0.0,0.0,0.0
6,0.003,135.45931566503225,966.8,1001.0,1001.0,1001.0,0.9484850008068362,108.33632816373279,0.0,0.0,0.0
6,0.01,135.45931566503225,187.6,759.35,937.85,977.7,0.7007287209333481,110.43024947902634,245.03597184903282,149.6062415141828,71.27138275633496
6,0.03,135.45931566503225,26.7,104.5,294.8,519.7,0.39431135981779597,14.457178147895945,78.93573335315256,278.84648106081596,341.1527663672097
7,0.001,153.4784763340595,1001.0,1001.0,1001.0,1001.0,0.9768587023038936,0.0,0.0,0.0,0.0
7,0.003,153.4784763340595,396.05,872.65,958.65,1001.0,0.7779140452553361,200.8132154515733,228.69855159139072,158.08961857123953,0.0
7,0.01,153.4784763340595,55.5,176.4,456.0,596.45,0.46831332884615345,35.33341194959807,186.30093934277411,313.16241792399035,341.64228002400404
7,0.03,153.4784763340595,6.55,19.65,69.4,161.75,0.29793223235177896,4.080134801694669,10.771606194064097,77.83276944834996,189.54020022148336
8,0.001,160.81846402907615,976.8,1001.0,1001.0,1001.0,0.964889192862362,97.33067347963849,0.0,0.0,0.0
8,0.003,160.81846402907615,307.5,775.1,963.0,1001.0,0.778844262720843,201.9939355525309,259.9824801789536,123.35355690048017,0.0
8,0.01,160.81846402907615,51.05,170.05,451.3,626.85,0.395136667974227,31.40457769179519,97.2997816030437,302.1640448498133,327.07587422492657
8,0.03,160.81846402907615,5.6,22.3,83.85,136.35,0.28434348770906404,3.277193921634788,21.503720608304043,79.8281122161861,205.97433699371385
