N_gen,eps_H,eps_A,kappa0,width_mean,width_std,max_width_mean,gap_min_mean,final_imag_mean
3,0.001,0.0001,16.8621025075229,3.578363149604674e-17,1.1874872120707918e-18,9.061971110864983e-17,0.7372485748089381,3.6361131988125014e-17
3,0.001,0.0003,16.8621025075229,3.5701573870315876e-17,1.6379322449360777e-18,9.325771055185007e-17,0.7358127084925954,3.355041851681767e-17
3,0.001,0.001,16.8621025075229,3.620517295568576e-17,1.4626648740483748e-18,9.717889120033351e-17,0.7277147305638106,3.467356215998137e-17
3,0.001,0.003,16.8621025075229,3.735589174604699e-17,3.0339727443064176e-18,1.0872373139616989e-16,0.7163156826218293,4.556067146269153e-17
3,0.003,0.0001,16.8621025075229,3.6765381891640654e-17,2.486446291507623e-18,1.0019106918829016e-16,0.71432643982322,3.353937584693478e-17
3,0.003,0.0003,16.8621025075229,3.701395919070662e-17,1.7627020555240835e-18,1.0656461374376497e-16,0.726521111646785,3.9763231059417555e-17
3,0.003,0.001,16.8621025075229,3.6854253649024653e-17,2.8160032045498366e-18,1.0277157648036553e-16,0.7215884236551405,3.495077523068966e-17
3,0.003,0.003,16.8621025075229,3.7320608887129783e-17,3.2170506214090347e-18,1.0775174680312015e-16,0.6907124362303538,2.6182352995372197e-17
3,0.01,0.0001,16.8621025075229,4.115569035039863e-17,4.0621414303095084e-18,1.2098102921357624e-16,0.6372652768707385,4.502688766959551e-17
3,0.01,0.0003,16.8621025075229,4.294213820345374e-17,4.208005801653054e-18,1.3869600265153579e-16,0.646578083217309,4.6825868339222555e-17
3,0.01,0.001,16.8621025075229,4.107670155856229e-17,4.2467363373196495e-18,1.261664710399872e-16,0.6183461471558495,4.2291074224037694e-17
3,0.01,0.003,16.8621025075229,4.123280850390168e-17,3.9869349762903955e-18,1.2778559147777334e-16,0.6080651912788958,4.6147541435185215e-17
4,0.001,0.0001,47.10100408344988,4.664296394895683e-17,1.537612143190646e-18,1.2346740984261775e-16,0.31020144171148945,5.850172446018848e-17
4,0.001,0.0003,47.10100408344988,4.6872387530663423e-17,1.3842880002791525e-18,1.305707766218647e-16,0.30899167387557525,4.730987472426067e-17
4,0.001,0.001,47.10100408344988,4.720910756089131e-17,1.4677738660087335e-18,1.3739404488466517e-16,0.3040588305483101,4.741042353019266e-17
4,0.001,0.003,47.10100408344988,4.80565382852981e-17,2.3026030993574756e-18,1.3382305839450653e-16,0.2931982659144254,4.331927154813596e-17
4,0.003,0.0001,47.10100408344988,4.875247363257548e-17,2.3457876741970407e-18,1.3593480187880322e-16,0.2806023709892812,5.403203194701674e-17
