align_rank,cp_e,cp_nu,cp_rel,beta_e,beta_nu,beta_rel,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,raw_unitarity,raw_leakage,gap_e,gap_nu,s1,s2,s3,L12,L23,L13,LJ,Lleak,Lunit,Lsign,Lgap,loss,P_overlap,P_misalignment,L12_check,L23_check,L13_check,LJ_check,Lalign,loss_with_Lalign,noalign_rank,loss_without_Lalign,loss_without_Lalign_validation
0,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.06,0.09,33.302971673169615,48.90886970499066,8.501808429667,-0.0310159120181136,0.0310159120181136,0.9527513461489,0.1977330096256057,1.0904309218585813,1.0812158516018384,0.9953932980953858,0.9427850445142734,0.2319477517491759,0.013039418301343,0.0376697105209886,0.0744014442316898,0.1076032395659103,6.920655336896199,14.2912701922335,0.0,0.0920976669516522,21.53673700870128,0.6444837391981625,0.3555162608018375,0.013039418301343093,0.026159521195132308,0.037959920526372364,0.047823662029296186,42.6619512962205,61.39200122280954,63,18.730049926589043,18.730049926589043
1,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.08,0.11,33.30297167316853,48.90886970499051,8.501808429667081,-0.0310159120181124,0.0310159120181124,0.9527513461488994,0.1977330096256052,1.0904309218585813,1.0812158516018384,0.9953932980953858,0.9427850445142736,0.2319477517491769,0.0130394183015499,0.0376697105210291,0.0744014442315115,0.1076032395661766,6.920655336896183,14.291270192233492,0.0,0.0920976669516522,21.536737008701596,0.6444837391981627,0.3555162608018373,0.013039418301549992,0.026159521195159127,0.03795992052628139,0.047823662029412864,42.66195129622047,61.39200122280974,65,18.730049926589267,18.730049926589267
2,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.03,0.06,33.30297167316813,48.90886970499126,8.50180842966701,-0.0310159120181122,0.0310159120181122,0.9527513461488988,0.1977330096256043,1.0904309218585813,1.0812158516018395,0.9953932980953848,0.9427850445142736,0.2319477517491786,0.0130394183016257,0.0376697105208342,0.0744014442316665,0.1076032395662214,6.920655336896153,14.29127019223348,0.0,0.0920976669516522,21.536737008701635,0.6444837391981623,0.35551626080183774,0.013039418301625721,0.02615952119502377,0.0379599205263605,0.04782366202943243,42.66195129622053,61.39200122280977,64,18.73004992658924,18.73004992658924
3,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.04,0.07,33.30297167316818,48.90886970499118,8.501808429666898,-0.0310159120181118,0.0310159120181118,0.9527513461488986,0.1977330096256042,1.0904309218585813,1.0812158516018393,0.995393298095386,0.942785044514274,0.2319477517491787,0.0130394183016162,0.0376697105208544,0.0744014442319107,0.1076032395662957,6.920655336896148,14.291270192233478,0.0,0.0920976669516522,21.536737008701955,0.6444837391981635,0.3555162608018365,0.013039418301616255,0.02615952119503781,0.03795992052648509,0.047823662029471206,42.66195129622038,61.392001222809775,67,18.730049926589395,18.730049926589395
4,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.02,0.05,33.30297167316912,48.90886970499126,8.501808429666845,-0.0310159120181125,0.0310159120181125,0.9527513461488996,0.1977330096256052,1.0904309218585813,1.0812158516018393,0.9953932980953848,0.9427850445142738,0.2319477517491769,0.0130394183014377,0.0376697105208342,0.074401444232027,0.1076032395661516,6.920655336896183,14.291270192233494,0.0,0.0920976669516522,21.536737008701778,0.6444837391981623,0.35551626080183774,0.013039418301437754,0.02615952119502377,0.03795992052654441,0.04782366202940309,42.66195129622053,61.392001222809796,66,18.73004992658927,18.73004992658927
5,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.06,0.0699999999999999,33.30297167316956,48.90886970499066,8.501808429666694,-0.0310159120181124,0.0310159120181124,0.9527513461488992,0.1977330096256049,1.0904309218585817,1.0812158516018384,0.995393298095386,0.942785044514274,0.2319477517491774,0.0130394183013539,0.0376697105209905,0.0744014442323565,0.1076032395661645,6.920655336896172,14.291270192233489,0.0,0.0920976669516522,21.536737008702172,0.6444837391981633,0.35551626080183674,0.013039418301353913,0.026159521195132308,0.03795992052671252,0.047823662029412864,42.66195129622041,61.39200122280986,68,18.73004992658945,18.73004992658945
6,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.03,0.05,0.08,33.30297167316788,48.90886970499075,8.501808429666962,-0.0310159120181118,0.0310159120181118,0.9527513461488988,0.1977330096256043,1.0904309218585813,1.081215851601839,0.9953932980953856,0.9427850445142744,0.2319477517491784,0.013039418301673,0.0376697105209666,0.0744014442317712,0.1076032395663025,6.920655336896153,14.29127019223348,0.0,0.0920976669516522,21.536737008702,0.6444837391981634,0.3555162608018366,0.013039418301673052,0.026159521195115706,0.03795992052641389,0.047823662029471206,42.661951296220394,61.39200122280987,69,18.73004992658947,18.73004992658947
7,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.08,0.09,33.30297167316846,48.90886970499046,8.501808429666784,-0.0310159120181112,0.0310159120181112,0.9527513461488988,0.1977330096256045,1.0904309218585817,1.0812158516018384,0.995393298095386,0.942785044514274,0.2319477517491781,0.0130394183015635,0.037669710521042,0.0744014442321588,0.1076032395664376,6.920655336896161,14.29127019223348,0.0,0.0920976669516522,21.53673700870249,0.6444837391981634,0.3555162608018366,0.013039418301563516,0.02615952119516806,0.037959920526611665,0.04782366202952955,42.661951296220394,61.39200122281008,71,18.730049926589682,18.730049926589682
8,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.04,0.05,33.30297167316811,48.908869704991154,8.501808429666601,-0.0310159120181106,0.0310159120181106,0.9527513461488978,0.1977330096256035,1.0904309218585817,1.0812158516018393,0.9953932980953862,0.9427850445142748,0.23194775174918,0.0130394183016297,0.0376697105208618,0.0744014442325581,0.1076032395665514,6.920655336896125,14.291270192233467,0.0,0.0920976669516522,21.536737008702847,0.6444837391981643,0.35551626080183574,0.013039418301629779,0.026159521195042917,0.03795992052681536,0.04782366202958788,42.66195129622029,61.392001222810094,75,18.73004992658981,18.73004992658981
9,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0099999999999999,0.03,0.0399999999999999,33.30297167316808,48.90886970499124,8.501808429666717,-0.031015912018111,0.031015912018111,0.952751346148898,0.1977330096256036,1.0904309218585817,1.0812158516018395,0.9953932980953848,0.942785044514274,0.23194775174918,0.0130394183016351,0.0376697105208397,0.0744014442323061,0.1076032395664816,6.920655336896126,14.29127019223347,0.0,0.0920976669516522,21.536737008702517,0.6444837391981628,0.3555162608018372,0.013039418301635186,0.026159521195027603,0.03795992052668681,0.0478236620295491,42.661951296220465,61.39200122281011,70,18.73004992658964,18.73004992658964
