scale,i13,cp_e,cp_nu,cp_rel,beta_e,beta_nu,beta_rel,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.016,-0.012,-0.024,0.046000000000000006,0.07,34.54421184616383,47.4289803377013,8.725988193954246,-0.032071713893459995,0.032071713893459995,2.5730107236137053e-16,0.0,2.7656869412248306
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.014,-0.012,-0.024,0.046000000000000006,0.07,34.54421184616384,47.4289803377013,8.725988193954246,-0.032071713893459995,0.032071713893459995,3.438780286458794e-16,0.0,2.7656869412248466
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.018000000000000002,-0.012,-0.024,0.046000000000000006,0.07,34.54421184616384,47.4289803377013,8.725988193954246,-0.03207171389346003,0.03207171389346003,2.6644810484402866e-16,0.0,2.7656869412248466
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.014,-0.01,-0.024,0.046000000000000006,0.07,34.58057652529117,47.423433508376235,8.673990436452087,-0.031960206640679896,0.031960206640679896,5.496418705861506e-16,0.0,2.771351791541289
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.016,-0.01,-0.024,0.046000000000000006,0.07,34.58057652529117,47.423433508376235,8.673990436452087,-0.0319602066406799,0.0319602066406799,3.274172804380589e-16,0.0,2.771351791541289
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.012,-0.01,-0.024,0.046000000000000006,0.07,34.58057652529117,47.423433508376235,8.673990436452087,-0.031960206640679924,0.031960206640679924,4.238693073189238e-16,0.0,2.771351791541289
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.014,-0.008,-0.024,0.046000000000000006,0.07,34.616292520831095,47.41616197768749,8.621936005967555,-0.031845980870779306,0.031845980870779306,4.535033009099845e-16,0.0,2.81626207111894
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.01,-0.008,-0.024,0.046000000000000006,0.07,34.616292520831095,47.41616197768749,8.621936005967557,-0.03184598087077932,0.03184598087077932,5.473815406990303e-16,0.0,2.816262071118941
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.012,-0.008,-0.024,0.046000000000000006,0.07,34.61629252083111,47.41616197768749,8.621936005967555,-0.031845980870779333,0.031845980870779333,3.925844416168177e-16,0.0,2.8162620711189725
2.5,-0.4,0.066,0.156,0.09,-0.004,-0.016,-0.012,-0.024,0.061000000000000006,0.085,34.1455797269984,47.23679656068505,8.267788743206081,-0.031199240925768798,0.031199240925768798,5.50371010507363e-16,0.0,2.8217049097565026
2.5,-0.4,0.066,0.156,0.09,-0.002,-0.014,-0.012,-0.024,0.061000000000000006,0.085,34.14557972699839,47.236796560685036,8.26778874320608,-0.031199240925768763,0.031199240925768763,4.249290892155058e-16,0.0,2.8217049097565274
2.5,-0.4,0.066,0.156,0.09,-0.006,-0.018000000000000002,-0.012,-0.024,0.061000000000000006,0.085,34.145579726998406,47.236796560685036,8.267788743206081,-0.03119924092576878,0.03119924092576878,4.540693645962113e-16,0.0,2.821704909756539
2.8,-0.35,0.055,0.145,0.09,-0.006,-0.018000000000000002,-0.012,-0.024,0.061000000000000006,0.085,34.389781856447186,48.1233851055217,8.091076231594286,-0.03163837471667437,0.03163837471667437,4.1478576877384707e-16,0.0,2.8589641188932267
2.8,-0.35,0.055,0.145,0.09,-0.002,-0.014,-0.012,-0.024,0.061000000000000006,0.085,34.389781856447186,48.1233851055217,8.091076231594284,-0.03163837471667437,0.03163837471667437,3.011931588062966e-16,0.0,2.8589641188932373
2.8,-0.35,0.055,0.145,0.09,-0.004,-0.016,-0.012,-0.024,0.061000000000000006,0.085,34.38978185644719,48.1233851055217,8.091076231594286,-0.031638374716674376,0.031638374716674376,6.652941582784364e-16,0.0,2.85896411889324
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.008,-0.006,-0.024,0.046000000000000006,0.07,34.65135710915243,47.4071685383174,8.56983085775347,-0.03172908400251474,0.03172908400251474,3.2133147860653284e-16,0.0,2.9005266198341695
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.012,-0.006,-0.024,0.046000000000000006,0.07,34.651357109152435,47.40716853831741,8.569830857753468,-0.03172908400251476,0.03172908400251476,5.053496914273793e-16,0.0,2.9005266198341753
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.01,-0.006,-0.024,0.046000000000000006,0.07,34.651357109152435,47.4071685383174,8.56983085775347,-0.03172908400251474,0.03172908400251474,3.818914047719894e-16,0.0,2.9005266198341864
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.016,-0.012,-0.024,0.0385,0.0625,34.29114009220108,47.04379941621506,8.56676802474686,-0.030538127661636875,0.030538127661636875,6.164300268705295e-16,0.0,2.924383199479883
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.018000000000000002,-0.012,-0.024,0.0385,0.0625,34.29114009220108,47.04379941621506,8.566768024746862,-0.03053812766163686,0.03053812766163686,2.4093304511844475e-16,0.0,2.9243831994798857
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.014,-0.012,-0.024,0.0385,0.0625,34.29114009220109,47.04379941621506,8.566768024746862,-0.030538127661636875,0.030538127661636875,3.232456001465198e-16,0.0,2.924383199479895
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.01,-0.004,-0.024,0.046000000000000006,0.07,34.68576763006005,47.39645626240431,8.517681054088504,-0.031609564128767045,0.031609564128767045,2.9060631111760165e-16,0.0,3.0242480108553793
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.008,-0.004,-0.024,0.046000000000000006,0.07,34.68576763006005,47.39645626240431,8.517681054088504,-0.03160956412876702,0.03160956412876702,2.531507829327914e-16,0.0,3.0242480108553806
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.006,-0.004,-0.024,0.046000000000000006,0.07,34.685767630060056,47.39645626240431,8.517681054088502,-0.031609564128767045,0.031609564128767045,3.5022516090818214e-16,0.0,3.024248010855398
2.5,-0.4,0.066,0.156,0.09,-0.004,-0.014,-0.01,-0.024,0.061000000000000006,0.085,34.169817363085066,47.245584244716454,8.22108996634891,-0.0310765201331753,0.0310765201331753,4.1869950778645203e-16,0.0,3.044460789377637
2.5,-0.4,0.066,0.156,0.09,-0.002,-0.012,-0.01,-0.024,0.061000000000000006,0.085,34.169817363085066,47.245584244716454,8.22108996634891,-0.03107652013317529,0.03107652013317529,4.535978483239178e-16,0.0,3.0444607893776383
