kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.36,0.19333333333333333,0.25,13.152964860463818,2.4034764541901783,0.24231561351982117,2.8968639955075787e-05,2.8968639955075787e-05,1.6957864735963717e-16,0.0,0.259026386718431
0.42,2.4,0.23,0.015,0.36,0.19333333333333333,0.2,13.152957265327199,2.398326500945448,0.2345046258116311,2.3057625010553667e-05,2.3057625010553667e-05,1.0255429320938822e-16,0.0,0.2838324410350572
0.42,2.4,0.23,0.015,0.36,0.16666666666666669,0.25,13.153476734966759,2.2373167273307,0.21477340915496368,2.565927839688273e-05,2.565927839688273e-05,2.934734814822896e-16,0.0,0.42952935394830416
0.42,2.4,0.23,0.015,0.36,0.16666666666666669,0.3,13.153490540367052,2.2430993526418965,0.22999372989851613,3.089223739013297e-05,3.089223739013297e-05,3.97554568992504e-16,0.0,0.43182163418452346
0.42,2.4,0.23,0.015,0.32,0.19333333333333333,0.25,13.153350107332436,2.2818356327482325,0.24474731564676583,2.8481354596560787e-05,2.8481354596560787e-05,1.2473886171905072e-16,0.0,0.4424724995064219
0.42,2.4,0.23,0.015,0.32,0.19333333333333333,0.2,13.153339035481043,2.2771673659778777,0.23339257598558502,2.2679287401551618e-05,2.2679287401551618e-05,1.6260777290385702e-16,0.0,0.45438191984490306
0.42,2.4,0.23,0.015,0.36,0.19333333333333333,0.3,13.152979596769857,2.4086550838324308,0.25679390131624436,3.4879589824839824e-05,3.4879589824839824e-05,6.550711842756044e-16,0.0,0.4841999730143091
0.42,2.4,0.23,0.015,0.36,0.19333333333333333,0.15,13.152956811339731,2.393205403627272,0.2340294788850159,1.7146558270134116e-05,1.7146558270134116e-05,5.645039145345813e-16,0.0,0.5147392621206776
0.42,2.4,0.23,0.015,0.28,0.22,0.2,13.153088199297887,2.360319245068657,0.26167608354941313,2.491213319814542e-05,2.491213319814542e-05,3.3959898209583966e-16,0.0,0.5802646527627079
0.42,2.4,0.23,0.015,0.32,0.22,0.2,13.152749710155842,2.4642572881233513,0.2610189573517394,2.5297272606458754e-05,2.5297272606458754e-05,1.447078104495272e-16,0.0,0.5901473921552183
0.42,2.4,0.23,0.015,0.36,0.16666666666666669,0.2,13.153470071018186,2.2315619614485493,0.20702641356607365,2.042626177921683e-05,2.042626177921683e-05,2.5153266082972605e-16,0.0,0.5941442500278976
0.42,2.4,0.23,0.015,0.28,0.22,0.15,13.153079860948424,2.3567881387740997,0.2537430373468978,1.8541325057654795e-05,1.8541325057654795e-05,4.654367666131448e-16,0.0,0.6760607071975764
0.42,2.4,0.23,0.015,0.32,0.19333333333333333,0.15,13.15333510498162,2.272531573650536,0.22922640955206208,1.68771692498626e-05,1.68771692498626e-05,2.2526392115881445e-16,0.0,0.6767581101636898
0.42,2.4,0.23,0.015,0.36,0.16666666666666669,0.35,13.153511487255692,2.2489096288381463,0.2513333061179587,3.6125127006608054e-05,3.6125127006608054e-05,2.84586032304739e-16,0.0,0.6898893421271328
0.42,2.4,0.23,0.015,0.32,0.19333333333333333,0.3,13.153368320565235,2.2865361801800406,0.262358930264341,3.428335779816216e-05,3.428335779816216e-05,4.039784433630852e-16,0.0,0.7021792928967513
0.42,2.4,0.23,0.015,0.32,0.22,0.15,13.152744848431652,2.460174953371219,0.25641140453177075,1.8817502022979576e-05,1.8817502022979576e-05,4.678835753694807e-16,0.0,0.7202194741929324
0.42,2.4,0.23,0.015,0.32,0.22,0.25,13.152761712907006,2.4683715909532697,0.2720602644844389,3.177698633938242e-05,3.177698633938242e-05,3.3022968576554765e-16,0.0,0.7533939436943087
0.42,2.4,0.23,0.015,0.28,0.22,0.25,13.153103678860333,2.3638855116331094,0.27579886395797437,3.1282885342601846e-05,3.1282885342601846e-05,4.746066000902231e-16,0.0,0.7880291621976588
0.42,2.4,0.23,0.015,0.24,0.22,0.2,13.153383415221466,2.265981506727913,0.2639719524382595,2.4519697468139423e-05,2.4519697468139423e-05,5.14574458528774e-16,0.0,0.8088913240193674
0.42,2.4,0.23,0.015,0.24,0.22,0.15,13.153371600001742,2.263064823191644,0.25275985220735514,1.8257981765849862e-05,1.8257981765849862e-05,4.662716792352922e-16,0.0,0.8638767908229765
0.42,2.4,0.23,0.015,0.36,0.16666666666666669,0.15,13.153470548503556,2.225835264838531,0.20759111728104626,1.5193199289633558e-05,1.5193199289633558e-05,3.496082489987787e-16,0.0,0.8706394834400911
0.42,2.4,0.23,0.015,0.36,0.22,0.2,13.152367949732156,2.5766341266459833,0.262012716691935,2.567508913276298e-05,2.567508913276298e-05,2.644813366444824e-16,0.0,0.8996427334642013
0.42,2.4,0.23,0.015,0.28,0.19333333333333333,0.2,13.153677533314239,2.164263078157936,0.23412623728524187,2.229367766231824e-05,2.229367766231824e-05,3.3881996160261975e-16,0.0,0.9216567292048231
0.42,2.4,0.23,0.015,0.28,0.19333333333333333,0.25,13.153692082161717,2.168379721681268,0.2488956095734841,2.798667387842943e-05,2.798667387842943e-05,2.231430308709087e-16,0.0,0.9350660533260059
0.42,2.4,0.23,0.015,0.36,0.19333333333333333,0.1,13.152963498499986,2.3881133424337038,0.24093357766609452,1.1235453012767987e-05,1.1235453012767987e-05,1.5763210874160667e-16,0.0,0.948891165859276
0.42,2.4,0.23,0.015,0.36,0.19333333333333333,0.35,13.15300147428442,2.4138622110264754,0.2768955983629291,4.079046134117248e-05,4.079046134117248e-05,3.49057336117949e-16,0.0,1.0278630812962095
0.42,2.4,0.23,0.015,0.36,0.22,0.25,13.152376475948532,2.581236918622445,0.2698737919161029,3.226362962737914e-05,3.226362962737914e-05,2.585087228793237e-16,0.0,1.028223161252523
0.42,2.4,0.23,0.015,0.28,0.22,0.1,13.153078663789692,2.3532923471502296,0.25258361509354244,1.217047524137288e-05,1.217047524137288e-05,3.4741708574544187e-16,0.0,1.0370944370672845
0.42,2.4,0.23,0.015,0.36,0.22,0.15,13.152366564338465,2.572060252126782,0.2607130135131308,1.908649094952905e-05,1.908649094952905e-05,3.9323927602237866e-16,0.0,1.0618583595784041
0.42,2.4,0.23,0.015,0.24,0.22,0.25,13.153402371821889,2.268936570855335,0.28102781325901505,3.0781358045319646e-05,3.0781358045319646e-05,5.197520019335021e-16,0.0,1.0744861408365858
0.42,2.4,0.23,0.015,0.32,0.19333333333333333,0.1,13.153338315823575,2.267928449922548,0.23263534890665544,1.1075013178336174e-05,1.1075013178336174e-05,2.257307881613934e-16,0.0,1.0842268428029977
0.42,2.4,0.23,0.015,0.32,0.16666666666666669,0.25,13.153861990438076,2.1061009889515914,0.2175121622928156,2.5171369870367888e-05,2.5171369870367888e-05,4.630071890109754e-16,0.0,1.1098832960862655
0.42,2.4,0.23,0.015,0.32,0.22,0.1,13.152747127721355,2.456124741702186,0.25858175591853017,1.2337689151327436e-05,1.2337689151327436e-05,2.717798804616521e-16,0.0,1.1210202606157917
0.42,2.4,0.23,0.015,0.32,0.16666666666666669,0.3,13.153879272914292,2.111426869291826,0.2361901110053373,3.0295264033405878e-05,3.0295264033405878e-05,4.621191703272463e-16,0.0,1.127336669662458
0.42,2.4,0.23,0.015,0.28,0.19333333333333333,0.15,13.153670126003268,2.160182845672154,0.22623652392869148,1.660063134509629e-05,1.660063134509629e-05,3.1478719228978267e-16,0.0,1.1337607465840729
0.42,2.4,0.23,0.015,0.36,0.14,0.35,13.15394498516215,2.0984349574486165,0.22625618737382486,3.144492637158908e-05,3.144492637158908e-05,3.434315762128428e-16,0.0,1.150723882229638
0.42,2.4,0.23,0.015,0.36,0.14,0.3,13.153924969065603,2.0919706696357827,0.20341407369531994,2.6890429814702826e-05,2.6890429814702826e-05,2.285644243915408e-16,0.0,1.1751328958850564
0.42,2.4,0.23,0.015,0.24,0.22,0.1,13.153366926131309,2.2601866655467076,0.24818478200677874,1.1996225016262796e-05,1.1996225016262796e-05,5.089133665912145e-16,0.0,1.18737953252259
0.42,2.4,0.23,0.015,0.2,0.22,0.2,13.153635356221422,2.1824893265178784,0.2678645816771091,2.4119991045706834e-05,2.4119991045706834e-05,2.2987315722827676e-16,0.0,1.2124142993221942
0.42,2.4,0.23,0.015,0.2,0.22,0.15,13.153620063936257,2.1802515645871186,0.253481633598686,1.7967492923046807e-05,1.7967492923046807e-05,3.1469710926889835e-16,0.0,1.215922005854868
0.42,2.4,0.23,0.015,0.28,0.19333333333333333,0.3,13.153713772584302,2.172532573874029,0.2694155757884152,3.367960719913299e-05,3.367960719913299e-05,3.3335942881497316e-16,0.0,1.2480909044918893
0.42,2.4,0.23,0.015,0.32,0.22,0.3,13.15278085671706,2.472517706808316,0.2887983415068962,3.8256628659451286e-05,3.8256628659451286e-05,2.436099745833858e-16,0.0,1.2583272632911169
0.42,2.4,0.23,0.015,0.36,0.16666666666666669,0.1,13.153478167423915,2.220136848633197,0.2164024614719935,9.960102680731803e-06,9.960102680731803e-06,2.3574395007565357e-16,0.0,1.2632748980786017
0.42,2.4,0.23,0.015,0.32,0.16666666666666669,0.2,13.153851849624097,2.100807122096146,0.20576472340282223,2.0047419165680064e-05,2.0047419165680064e-05,6.842957106969968e-16,0.0,1.2902184663510978
0.42,2.4,0.23,0.015,0.36,0.16666666666666669,0.4,13.153539575688132,2.2547473486835856,0.2773834189328731,4.135793549410807e-05,4.135793549410807e-05,3.244425681817016e-16,0.0,1.2961859758677585
0.42,2.4,0.23,0.015,0.32,0.19333333333333333,0.35,13.15339367522771,2.2912688148901053,0.28507011929771037,4.008528396978739e-05,4.008528396978739e-05,1.2351037757446587e-16,0.0,1.309455607794485
0.42,2.4,0.23,0.015,0.28,0.22,0.3,13.15312629967684,2.3674867835981295,0.2952244065412699,3.765356717088178e-05,3.765356717088178e-05,2.4307261411633137e-16,0.0,1.357565410956534
0.42,2.4,0.23,0.015,0.36,0.14,0.25,13.153912094695531,2.08553220232662,0.18725524803377977,2.2335872890247993e-05,2.2335872890247993e-05,3.414091871583493e-16,0.0,1.391842985788574
0.42,2.4,0.23,0.015,0.36,0.14,0.4,13.153972143038146,2.1049248351063903,0.25398475880079036,3.599935233592269e-05,3.599935233592269e-05,2.4795625462775564e-16,0.0,1.4365418648904031
0.42,2.4,0.23,0.015,0.32,0.16666666666666669,0.35,13.153903697098531,2.116784527437868,0.26031097534090014,3.541909014479275e-05,3.541909014479275e-05,6.394168142414175e-16,0.0,1.440210944529538
0.42,2.4,0.23,0.015,0.36,0.22,0.3,13.152392143010337,2.5858684786256707,0.28375143104592576,3.885209762923003e-05,3.885209762923003e-05,4.084385149916498e-16,0.0,1.4833557934795414
0.42,2.4,0.23,0.015,0.2,0.22,0.1,13.153611913140649,2.1780553906937574,0.24547144577244295,1.1814954397650068e-05,1.1814954397650068e-05,2.4850859850553307e-16,0.0,1.499702436323991
0.42,2.4,0.23,0.015,0.36,0.22,0.1,13.152372319763543,2.567515444745232,0.26607085265876107,1.2497849881939332e-05,1.2497849881939332e-05,3.2228062313408794e-16,0.0,1.50855412128506
0.42,2.4,0.23,0.015,0.28,0.19333333333333333,0.1,13.153669860209039,2.1561392264752333,0.22594829961623192,1.0907547721213107e-05,1.0907547721213107e-05,2.4847832340768417e-16,0.0,1.5239994971096782
0.42,2.4,0.23,0.015,0.2,0.22,0.25,13.153657790036723,2.1847685513226547,0.2876659809071531,3.0272434930565112e-05,3.0272434930565112e-05,2.2320391944508126e-16,0.0,1.5518095412322672
0.42,2.4,0.23,0.015,0.32,0.16666666666666669,0.15,13.153848850445403,2.0955455055206724,0.2021596175601982,1.4923423429420019e-05,1.4923423429420019e-05,6.296869995142203e-16,0.0,1.5888062366294537
0.42,2.4,0.23,0.015,0.24,0.19333333333333333,0.2,13.15397275688995,2.0609707125505317,0.2366886542829019,2.1900822371773154e-05,2.1900822371773154e-05,4.749124329533057e-16,0.0,1.6144388544005317
0.42,2.4,0.23,0.015,0.16,0.22,0.15,13.153825251328271,2.1096335534942328,0.2558940943902139,1.7669878366339403e-05,1.7669878366339403e-05,3.484065082618941e-16,0.0,1.6646244707721116
0.42,2.4,0.23,0.015,0.24,0.19333333333333333,0.25,13.153990782965026,2.0644585930898076,0.2546768052320171,2.7484629231702695e-05,2.7484629231702695e-05,1.9479103431965871e-16,0.0,1.6703626448176725
