kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.42,0.16,0.27999999999999997,13.15293788760216,2.413782776002345,0.21236898451063774,2.8684130544198022e-05,2.8684130544198022e-05,4.0962300232268935e-16,0.0,0.10001062466593069
0.42,2.4,0.23,0.015,0.42,0.16,0.3,13.152942087584659,2.416381627212715,0.2171638600839156,3.07748513410748e-05,3.07748513410748e-05,2.63178191075543e-16,0.0,0.10576655942131828
0.42,2.4,0.23,0.015,0.4,0.17,0.26,13.152989927593469,2.395091954833524,0.21918353020028478,2.7639519310070082e-05,2.7639519310070082e-05,6.404128843552597e-16,0.0,0.1182127561907662
0.42,2.4,0.23,0.015,0.42,0.16,0.26,13.152934830207833,2.4111874675662177,0.20880929655029629,2.659339944479505e-05,2.659339944479505e-05,3.386124292698695e-16,0.0,0.1183782914853089
0.42,2.4,0.23,0.015,0.4,0.17,0.27999999999999997,13.152993819956741,2.3975300443884864,0.22349523494738927,2.981018764785029e-05,2.981018764785029e-05,4.3942477307312355e-16,0.0,0.12222474206131327
0.42,2.4,0.23,0.015,0.4,0.16,0.27999999999999997,13.153169420552048,2.341678233187766,0.21318647133273427,2.8413874251488613e-05,2.8413874251488613e-05,2.3110450260914677e-16,0.0,0.1382552251028879
0.42,2.4,0.23,0.015,0.4,0.16,0.3,13.153174315853276,2.3442100233755934,0.21874402716920543,3.0482816685214326e-05,3.0482816685214326e-05,1.8454662491373836e-16,0.0,0.14084584442206427
0.42,2.4,0.23,0.015,0.4,0.17,0.24,13.152987177820993,2.3926577735971617,0.21608565899682117,2.546884104260086e-05,2.546884104260086e-05,5.285985412235629e-16,0.0,0.14106884738660885
0.42,2.4,0.23,0.015,0.42,0.16,0.24,13.15293291540037,2.408595712906969,0.20654866830673024,2.450265879383462e-05,2.450265879383462e-05,3.5210092780624085e-16,0.0,0.15667758743021462
0.42,2.4,0.23,0.015,0.4,0.17,0.3,13.152998854912457,2.399972030774574,0.2289522054809969,3.19808452760896e-05,3.19808452760896e-05,3.624961176934561e-16,0.0,0.15760493009348028
0.42,2.4,0.23,0.015,0.4,0.16,0.26,13.1531656678588,2.3391502424319115,0.2088259708778812,2.6344921611187733e-05,2.6344921611187733e-05,2.4012921856450543e-16,0.0,0.16191448289851057
0.42,2.4,0.23,0.015,0.38,0.18,0.26,13.153023444808946,2.3856925808296023,0.23002636378028632,2.8682061825081873e-05,2.8682061825081873e-05,4.3203768341196224e-16,0.0,0.16207797230897542
