p,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
0.0,0.7633036889156792,4.471952246724653,8.930364944359672,5.858680249636081,1.996972340413619,11.69962240985081,1.068171845680829
0.25,0.5809177330125062,3.6976663097268725,7.209822641068258,6.365215071937334,1.949830524756251,12.41109064390197,1.0938099474790606
0.5,0.465600723866139,3.1579727340212407,6.048736867565023,6.782576942318421,1.915386033071538,12.991253143549763,1.1136510453824446
0.75,0.38941326728506975,2.764148866482157,5.228552486862042,7.098240092725613,1.891559658838582,13.426744608150402,1.1279707282238383
1.0,0.3370381256841916,2.4646506386152804,4.6245230757005285,7.312676076666427,1.876340201424545,13.721068102644734,1.1373879199005767
1.25,0.29973459089110277,2.2285453758182006,4.162871214089673,7.435062363649107,1.867976869244268,13.888524516685147,1.1426561097909782
1.5,0.272320492843106,2.0366964060323633,3.79849220120514,7.4790420095405015,1.8650262208715174,13.94860945479264,1.1445309146912455
1.75,0.2516110371391043,1.876910020929701,3.5029318801782665,7.459569509631815,1.8663291479700974,13.922012007134864,1.1437020039851895
2.0,0.2355821863985058,1.7411825454669236,3.257688759245686,7.39097710266419,1.8709633678139639,13.828247411436486,1.1407671412247509
2.25,0.22290683886255802,1.6240980627011465,3.0503711220627117,7.285994772473303,1.878193929367439,13.684511151062251,1.1362292878120426
2.5,0.2126893509140612,1.5218751126334813,2.8724337528392048,7.15538933234324,1.887430662998813,13.505301231559235,1.1305042754353507
2.75,0.20430900883306938,1.4317884708776811,2.7178133080938522,7.007955640602826,1.8981947147736442,13.302464358360433,1.1239321039817909
3.0,0.19732515143730636,1.3518121638974083,2.5820875367023235,6.85068352438033,1.9100934328464019,13.085445610427913,1.1167885166476403
3.25,0.19141814658782147,1.2803952310718039,2.461946463727655,6.688996074279543,1.9228019630054296,12.861614782160318,1.1092954979005005
3.5,0.1863517501967953,1.216318335078486,2.354852946995296,6.527002476735542,1.936049863823966,12.636602256262536,1.1016303160569925
3.75,0.1819485185674844,1.1586002941792497,2.258820247863316,6.367736892287621,1.9496113191162792,12.414611922358267,1.0939331481666534
4.0,0.17807336692611905,1.1064358601272843,2.1722631544469366,6.213370810169126,1.963297858221117,12.198697603938651,1.0863134656242512
