p,beta_mass,mass_amp,score,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
1.0,2.95,2.3231249999999997,0.9643185269140329,0.00959752525191299,1.0000000000000144,104.19352632603696,104.19352632603841,104.19352632603545,10856.29092825455,4.035681473085967
1.0,3.0,2.3625,0.8959171460142699,0.00887071390992826,1.0000000000000218,112.7304983740692,112.73049837407157,112.73049837406674,12708.16526366601,4.10408285398573
1.0,3.05,2.4018749999999995,0.8275157651145086,0.008198943290731151,0.9999999999999958,121.96693702351786,121.96693702351727,121.96693702351837,14875.933726898762,4.172484234885491
1.0,3.1,2.4412499999999997,0.7591143842147465,0.00757804521340593,1.0000000000000324,131.9601522343719,131.9601522343762,131.9601522343676,17413.481777718607,4.2408856157852535
1.0,3.1500000000000004,2.480625,0.6907130033149844,0.007004167149362426,0.9999999999999922,142.77214958969515,142.77214958969392,142.77214958969626,20383.88669846227,4.309286996685016
1.0,3.2,2.5199999999999996,0.6223116224152223,0.006473748318289414,0.9999999999999838,154.47001502589075,154.47001502588813,154.47001502589325,23860.985542098897,4.377688377584778
1.0,3.25,2.5593749999999997,0.5539102415154602,0.00598349759433852,0.9999999999999991,167.126331085381,167.1263310853808,167.12633108538114,27931.21054206038,4.44608975848454
1.0,3.3,2.5987499999999994,0.4855088606156981,0.005530373085451534,0.9999999999999991,180.81962727445074,180.8196272744505,180.8196272744509,32695.737607671275,4.514491139384302
1.0,3.35,2.6381249999999996,0.417107479715936,0.005111563259125515,1.0000000000000306,195.63486732062478,195.6348673206307,195.63486732061878,38273.001311558444,4.582892520284064
1.0,3.4000000000000004,2.6774999999999998,0.348706098816173,0.004724469497505628,0.9999999999999705,211.66397635289405,211.6639763528877,211.6639763529003,44801.63888551847,4.651293901183827
1.0,3.45,2.7168749999999995,0.28030471791641176,0.004366689973563921,1.0000000000000075,229.0064112758249,229.00641127582657,229.00641127582315,52443.93640543224,4.719695282083588
1.0,3.5,2.7562499999999996,0.21190333701664876,0.004036004748319564,1.0000000000000249,247.76977787658998,247.76977787659595,247.76977787658382,61389.862829014695,4.788096662983351
1.0,3.55,2.7956249999999994,0.14350195611688754,0.003730361996632283,1.0000000000000013,268.07049849392246,268.0704984939228,268.0704984939221,71861.79216278008,4.8564980438831125
1.0,3.6,2.8349999999999995,0.07510057521712543,0.0034478652761031313,1.0000000000000162,290.03453439173455,290.034534391739,290.03453439172984,84120.03113983017,4.924899424782875
1.0,3.6500000000000004,2.8743749999999997,0.0066991943173624335,0.0031867617600891893,0.99999999999998,313.7981673195467,313.79816731954025,313.79816731955293,98469.28981310617,4.993300805682638
1.0,3.7,2.91375,0.061702186582399676,0.002945431361820701,1.0000000000000202,339.50884510914454,339.508845109151,339.50884510913767,115266.25590734498,5.0617021865824
1.0,3.75,2.9531249999999996,0.1301035674821609,0.002722376682138344,0.9999999999999779,367.32609655418116,367.3260965541728,367.3260965541893,134928.46120973153,5.130103567482161
1.0,3.8,2.9924999999999993,0.198504948381923,0.0025162137184786756,1.0000000000000493,397.4225212493511,397.4225212493706,397.4225212493315,157944.6603961909,5.198504948381923
1.0,3.85,3.0318749999999994,0.2669063292816851,0.0023256632774591697,0.9999999999999608,429.98486053085,429.98486053083286,429.98486053086685,184886.98028573443,5.266906329281685
1.0,3.9000000000000004,3.0712499999999996,0.3353077101814481,0.0021495430377799054,0.9999999999999836,465.21515616306175,465.21515616305373,465.21515616306937,216425.14152382175,5.335307710181448
1.0,3.95,3.1106249999999998,0.4037090910812102,0.001986760214194071,1.0000000000000389,503.3320039608557,503.3320039608749,503.3320039608361,253343.10621125068,5.40370909108121
1.0,4.0,3.1499999999999995,0.47211047198097233,0.0018363047770289089,1.0000000000000009,544.5719101259286,544.5719101259289,544.5719101259282,296558.5652982024,5.472110471980972
1.0,4.050000000000001,3.189375,0.5405118528807353,0.00169724318518581,0.9999999999999284,589.1907587129432,589.1907587129011,589.1907587129854,347145.75015273376,5.540511852880735
1.0,4.1,3.2287499999999993,0.6089132337804966,0.0015687125937342864,0.9999999999999056,637.4653993307481,637.4653993306877,637.4653993308083,406362.13534390996,5.6089132337804966
1.0,4.15,3.268125,0.6773146146802596,0.0014499155001592406,0.9999999999999445,689.6953649300067,689.6953649299679,689.695364930045,475679.6964059348,5.6773146146802596
1.0,4.2,3.3074999999999997,0.7457159955800208,0.0013401147960428186,1.000000000000043,746.2047303356907,746.2047303357224,746.2047303356585,556821.4995753606,5.745715995580021
1.0,4.25,3.3468749999999994,0.8141173764797829,0.0012386291934775818,0.9999999999999747,807.3441230562273,807.3441230562065,807.3441230562478,651804.5330334285,5.814117376479783
1.0,4.300000000000001,3.38625,0.8825187573795459,0.001144828997833036,0.9999999999999611,873.4928988458792,873.4928988458441,873.4928988459131,762989.8443341764,5.882518757379546
1.0,4.35,3.4256249999999993,0.9509201382793071,0.0010581322006464697,0.9999999999998785,945.0614955192239,945.0614955191089,945.0614955193387,893141.2303130318,5.950920138279307
1.1,3.0,2.330049223080055,0.9522899194134924,0.009465530510708349,1.000000000000004,105.64648213522743,105.64648213522788,105.646482135227,11161.17918754893,4.047710080586508
