beta_u,beta_d,theta12,theta23,theta13,J,absJ,Hu,Hd,L12,L23,L13,LJ,LOSS
3.0,1.0,0.0,2.236047838029344e-15,0.0,0.0,0.0,3.7964608868499763,1.2654869622833256,170.0416,5.664399999999989,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.05,0.0,3.9299980920116244e-15,0.0,0.0,0.0,3.7964608868499763,1.328761310397492,170.0416,5.66439999999998,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.1,0.0,1.0134981590788453e-15,0.0,-0.0,0.0,3.7964608868499763,1.3920356585116584,170.0416,5.664399999999995,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.15,0.0,1.5958499472162242e-14,0.0,0.0,0.0,3.7964608868499763,1.4553100066258247,170.0416,5.664399999999923,0.040401000000000006,649.0837074276884,824.8301084276883
3.0,1.2,0.0,1.6392203624658512e-15,0.0,0.0,0.0,3.7964608868499763,1.5185843547399906,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.25,0.0,8.274452335816817e-16,0.0,0.0,0.0,3.7964608868499763,1.581858702854157,170.0416,5.664399999999995,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.3,0.0,2.885934627308752e-15,0.0,-0.0,0.0,3.7964608868499763,1.6451330509683235,170.0416,5.664399999999987,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.35,0.0,3.278440724931703e-15,0.0,0.0,0.0,3.7964608868499763,1.7084073990824897,170.0416,5.664399999999985,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.4,0.0,7.92403503561869e-15,0.0,0.0,0.0,3.7964608868499763,1.771681747196656,170.0416,5.6643999999999615,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.45,0.0,3.182124965747812e-15,0.0,0.0,0.0,3.7964608868499763,1.8349560953108224,170.0416,5.664399999999985,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.5,0.0,3.674334566915156e-15,0.0,0.0,0.0,3.7964608868499763,1.8982304434249886,170.0416,5.664399999999983,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.55,0.0,1.3371090507987774e-15,0.0,-0.0,0.0,3.7964608868499763,1.9615047915391548,170.0416,5.664399999999993,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.6,0.0,2.4809819232359504e-15,0.0,0.0,0.0,3.7964608868499763,2.024779139653321,170.0416,5.664399999999987,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.65,0.0,5.541523451808376e-15,0.0,0.0,0.0,3.7964608868499763,2.0880534877674872,170.0416,5.664399999999974,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.7000000000000002,0.0,6.448380171684821e-15,0.0,-0.0,0.0,3.7964608868499763,2.151327835881654,170.0416,5.664399999999968,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.75,0.0,8.189801389221593e-15,0.0,-0.0,0.0,3.7964608868499763,2.21460218399582,170.0416,5.6643999999999615,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.8,0.0,1.2765115398044827e-14,0.0,0.0,0.0,3.7964608868499763,2.2778765321099863,170.0416,5.664399999999938,0.040401000000000006,649.0837074276884,824.8301084276884
