beta_u,beta_d,tw12,tw23,tw13,cp_phase,theta12,theta23,theta13,J,Hu,Hd,LOSS
4.75,4.2,0.42,0.06,0.0,0.01,12.862966442074788,2.2200964315688787,0.21813217008052746,1.8385457818918295e-05,8.251595156275172,7.296147295952793,0.10242220716151308
4.75,4.2,0.42,0.06,0.0,0.011,12.86427250552372,2.2215124698825686,0.25826136839484487,1.878752081812098e-05,8.251595156275172,7.296147296003029,0.10058859985668528
4.75,4.2,0.42,0.06,0.0,0.012,12.865579892203206,2.22294423581942,0.30013023029159125,1.922391651062918e-05,8.251595156275172,7.2961472960580185,0.10227260953930242
4.75,4.2,0.42,0.06,0.0,0.013,12.866888603422456,2.2243917103953352,0.3431022842188668,1.9694657201308786e-05,8.251595156275172,7.296147295863775,0.10778046150806005
4.75,4.2,0.42,0.06,0.0,0.013999999999999999,12.868198640539093,2.2258548744452953,0.38680985707541315,2.019975497504151e-05,8.251595156275172,7.29614729598759,0.11730843311381028
4.75,4.2,0.42,0.06,0.0,0.015,12.869510004853812,2.227333708625458,0.43102908978152255,2.073922169631851e-05,8.251595156275172,7.2961472963392415,0.13099254141762526
4.75,4.2,0.42,0.06,0.0,0.016,12.8708226975605,2.2288281934152208,0.47561713486228446,2.1313069009046108e-05,8.251595156275172,7.296147295471801,0.14893334942263892
4.75,4.2,0.42,0.06,0.0,0.016999999999999998,12.872136720104518,2.23033830911915,0.5204790637041503,2.192130833709137e-05,8.251595156275172,7.296147295594147,0.17120894075859797
4.75,4.2,0.42,0.06,0.0,0.018,12.87345207370564,2.2318640358691595,0.5655495567910409,2.256395088331498e-05,8.251595156275172,7.296147295905954,0.19788205638917705
4.75,4.2,0.42,0.06,0.00025,0.01,12.8631674784736,2.2186748774094314,0.2121551063006401,1.6689335290475792e-05,8.251595156275172,7.29614729620051,0.12228300285685319
4.75,4.2,0.42,0.06,0.00025,0.011,12.864473523490235,2.22009181692477,0.253233265429797,1.7091422420489107e-05,8.251595156275172,7.296147295912738,0.11881200944403597
4.75,4.2,0.42,0.06,0.00025,0.012,12.865780891895561,2.2215244915738253,0.29581466497990705,1.7527844799052148e-05,8.251595156275172,7.296147295718737,0.11892877413810776
4.75,4.2,0.42,0.06,0.00025,0.013,12.867089585035187,2.222972882326533,0.3393336833315058,1.7998614731091524e-05,8.251595156275172,7.296147295878651,0.12292343434376463
4.75,4.2,0.42,0.06,0.00025,0.013999999999999999,12.868399604217316,2.2244369699717064,0.38347105343206744,1.850374430129812e-05,8.251595156275172,7.296147296272412,0.1309841438857655
4.75,4.2,0.42,0.06,0.00025,0.015,12.869710950677925,2.2259167351190094,0.42803536462266434,1.904324537406162e-05,8.251595156275172,7.296147295902022,0.14324404903682902
