beta_u,beta_d,tw12,tw23,tw13,cp_phase,theta12,theta23,theta13,J,Hu,Hd,LOSS
4.75,4.2,0.421,0.062,0.0,0.011,12.917910361129616,2.3312087455867596,0.2536918282535393,1.9576687853471112e-05,8.251595156275172,7.296147295939541,0.054429395420375525
4.75,4.2,0.421,0.062,0.0,0.0115,12.918585669567708,2.33193023684642,0.2744077546868705,1.9794686669787932e-05,8.251595156275172,7.296147296008676,0.05504731239896283
4.75,4.2,0.421,0.062,0.0,0.012,12.919261313872907,2.3326555142342205,0.2954740331422319,2.0021308560247506e-05,8.251595156275172,7.296147296170988,0.05659014753560119
4.75,4.2,0.421,0.062,0.0,0.012499999999999999,12.919937294161695,2.3333845756237572,0.3168207578296682,2.025655509860962e-05,8.251595156275172,7.296147295658219,0.05909173395510705
4.75,4.2,0.421,0.062,0.0,0.013,12.920613610737329,2.334117418879092,0.33839483439155593,2.0500427844995228e-05,8.251595156275172,7.296147296325071,0.06257903895013664
4.75,4.2,0.421,0.062,0.0,0.0135,12.921290263634358,2.334854041854702,0.36015538448190426,2.0752928345360837e-05,8.251595156275172,7.296147296268079,0.06707399501648216
4.75,4.2,0.421,0.062,0.0,0.013999999999999999,12.921967253065107,2.3355944423956485,0.3820705247345141,2.101405813201545e-05,8.251595156275172,7.296147296081842,0.07259477976181603
4.75,4.2,0.421,0.062,0.0,0.014499999999999999,12.922644579178785,2.33633861833752,0.40411508308007266,2.128381872351084e-05,8.251595156275172,7.296147295489646,0.07915672076873319
4.75,4.2,0.421,0.062,0.0,0.015,12.923322242218383,2.33708656750652,0.4262689593969896,2.1562211624561768e-05,8.251595156275172,7.2961472955394715,0.08677294292086003
4.75,4.2,0.421,0.062,0.0,0.0155,12.924000242347237,2.337838287719541,0.448515933712752,2.1849238326005632e-05,8.251595156275172,7.296147296167447,0.09545483743947084
4.75,4.2,0.421,0.062,0.0,0.016,12.924678579649965,2.3385937767841707,0.4708427889031161,2.2144900304688422e-05,8.251595156275172,7.296147296212493,0.10521240595486898
4.75,4.2,0.421,0.062,0.0,0.0165,12.925357254318877,2.3393530324989187,0.49323865707067355,2.2449199023862835e-05,8.251595156275172,7.296147296043424,0.11605451606345592
4.75,4.2,0.421,0.062,0.0,0.017,12.926036266537883,2.340116052652938,0.5156945269360004,2.2762135932870818e-05,8.251595156275172,7.296147295907412,0.12798909361930833
4.75,4.2,0.421,0.062,0.0,0.0175,12.92671561647247,2.3408828350262745,0.5382028685029929,2.3083712467179135e-05,8.251595156275172,7.296147295798787,0.14102326917197794
4.75,4.2,0.421,0.062,0.0,0.018,12.92739530430202,2.3416533773901542,0.5607573441155618,2.3413930048376327e-05,8.251595156275172,7.2961472959390115,0.15516349090787784
4.75,4.2,0.421,0.062,0.0,0.0185,12.928075330135751,2.342427677506513,0.5833525838497432,2.3752790084204806e-05,8.251595156275172,7.296147295548122,0.17041561291810245
4.75,4.2,0.421,0.062,0.0,0.019,12.92875569424633,2.3432057331284715,0.605984009313929,2.4100293968754277e-05,8.251595156275172,7.296147296159468,0.18678496501583358
4.75,4.2,0.421,0.062,0.0,0.0195,12.929436396679685,2.343987542000288,0.6286476942310735,2.4456443081885375e-05,8.251595156275172,7.296147296136265,0.20427640890808982
4.75,4.2,0.421,0.062,0.0,0.02,12.930117437617236,2.3447731018572795,0.6513402532295978,2.4821238789822075e-05,8.251595156275172,7.296147295747452,0.22289438376921583
4.75,4.2,0.421,0.0623125,0.0,0.011,12.91797690222927,2.348331253448343,0.2532001992938608,1.9689641833746992e-05,8.251595156275172,7.296147296047182,0.052063758812227336
4.75,4.2,0.421,0.0623125,0.0,0.0115,12.91865562336482,2.3490522462288363,0.2739123357997707,1.9908087498297575e-05,8.251595156275172,7.296147295745525,0.052715088465423436
4.75,4.2,0.421,0.0623125,0.0,0.012,12.919334680488383,2.3497770016041657,0.2949759241199583,2.013515361458211e-05,8.251595156275172,7.296147295579248,0.05429159331687663
4.75,4.2,0.421,0.0623125,0.0,0.012499999999999999,12.920014073786056,2.3505055174933194,0.31632073723791787,2.0370841763034733e-05,8.251595156275172,7.29614729573084,0.05682715792708676
4.75,4.2,0.421,0.0623125,0.0,0.013,12.920693803408097,2.351237791805869,0.33789345923294634,2.0615153510098166e-05,8.251595156275172,7.296147295900418,0.06034876281751623
4.75,4.2,0.421,0.0623125,0.0,0.0135,12.921373869515161,2.35197382244216,0.3596530569936699,2.0868090408550713e-05,8.251595156275172,7.29614729593398,0.06487832886815645
4.75,4.2,0.421,0.0623125,0.0,0.013999999999999999,12.922054272269996,2.3527136072932096,0.38156753769013835,2.1129653997224804e-05,8.251595156275172,7.296147295727587,0.07043400622575002
4.75,4.2,0.421,0.0623125,0.0,0.014499999999999999,12.922735011888054,2.353457144240899,0.4036116509052429,2.1399845801278045e-05,8.251595156275172,7.296147295915093,0.07703108500659572
4.75,4.2,0.421,0.0623125,0.0,0.015,12.923416088506258,2.3542044311579726,0.42576523981734093,2.1678667331984612e-05,8.251595156275172,7.296147296042251,0.08468264667438256
4.75,4.2,0.421,0.0623125,0.0,0.0155,12.924097502280024,2.3549554659079983,0.448012043003427,2.1966120086723984e-05,8.251595156275172,7.296147295921703,0.09340003572981996
4.75,4.2,0.421,0.0623125,0.0,0.016,12.924779253420386,2.3557102463455797,0.47033881275970824,2.2262205549139664e-05,8.251595156275172,7.296147296155468,0.1031932056480328
4.75,4.2,0.421,0.0623125,0.0,0.0165,12.925461342046832,2.3564687703163085,0.492734658445901,2.256692518894099e-05,8.251595156275172,7.296147296069266,0.1140709758223263
4.75,4.2,0.421,0.0623125,0.0,0.017,12.926143768376951,2.357231035656859,0.5151905517483492,2.2880280462150328e-05,8.251595156275172,7.296147296376963,0.12604122469675308
4.75,4.2,0.421,0.0623125,0.0,0.0175,12.926826532502321,2.357997040194963,0.537698949835437,2.3202272810724043e-05,8.251595156275172,7.296147296026069,0.13911103689681562
4.75,4.2,0.421,0.0623125,0.0,0.018,12.927509634652907,2.3587667817495577,0.5602535053312921,2.35329036630174e-05,8.251595156275172,7.29614729592472,0.15328681656300805
4.75,4.2,0.421,0.0623125,0.0,0.0185,12.928193074975319,2.359540258130758,0.582848840923225,2.387217443336042e-05,8.251595156275172,7.29614729580718,0.16857437595883093
4.75,4.2,0.421,0.0623125,0.0,0.019,12.928876853646596,2.36031746714,0.6054803725877457,2.4220086522335014e-05,8.251595156275172,7.296147295857892,0.18497900551736648
4.75,4.2,0.421,0.0623125,0.0,0.0195,12.929560970821932,2.361098406569962,0.6281441697489302,2.4576641316625784e-05,8.251595156275172,7.296147295948448,0.20250553006184316
4.75,4.2,0.421,0.0623125,0.0,0.02,12.930245426655727,2.3618830742047825,0.6508368437538815,2.494184018901613e-05,8.251595156275172,7.296147295965106,0.22115835452538568
4.75,4.2,0.421,0.062625,0.0,0.011,12.918043686090629,2.365453802602379,0.252708579899148,1.9802255833384613e-05,8.251595156275172,7.296147295810627,0.050305248474994936
4.75,4.2,0.421,0.062625,0.0,0.0115,12.918725819991003,2.3661743042655177,0.2734169094158963,2.0021147546143547e-05,8.251595156275172,7.2961472962410445,0.050989486145017
4.75,4.2,0.421,0.062625,0.0,0.012,12.919408289943947,2.366898545347463,0.2944777964700953,2.024865707171133e-05,8.251595156275172,7.296147296036746,0.052599142753339954
4.75,4.2,0.421,0.062625,0.0,0.012499999999999999,12.920091096186342,2.3676265238114564,0.31582069070346913,2.0484785997144407e-05,8.251595156275172,7.29614729608466,0.05516815673368303
4.75,4.2,0.421,0.062625,0.0,0.013,12.92077423886015,2.368358237611617,0.3373920532899114,2.072953589548959e-05,8.251595156275172,7.296147295949779,0.058723523869379325
4.75,4.2,0.421,0.062625,0.0,0.0135,12.921457718137699,2.36909368469296,0.3591506954921495,2.098290832610412e-05,8.251595156275172,7.296147295638471,0.06328715527175091
4.75,4.2,0.421,0.062625,0.0,0.013999999999999999,12.922141534254553,2.3698328629914895,0.3810645144590755,2.1244904834547256e-05,8.251595156275172,7.296147296049123,0.06887717522871671
4.75,4.2,0.421,0.062625,0.0,0.014499999999999999,12.922825687280907,2.3705757704342814,0.4031081810610074,2.1515526952380765e-05,8.251595156275172,7.296147295764402,0.0755088379286903
4.75,4.2,0.421,0.062625,0.0,0.015,12.92351017748308,2.3713224049394594,0.42526148153539584,2.1794776197589603e-05,8.251595156275172,7.29614729613446,0.08319518272532855
4.75,4.2,0.421,0.062625,0.0,0.0155,12.924195004937284,2.3720727644163198,0.44750811284855513,2.2082654074081012e-05,8.251595156275172,7.296147295846532,0.09194750867611812
4.75,4.2,0.421,0.062625,0.0,0.016,12.924880169907043,2.3728268467652587,0.4698347966099494,2.237916207218629e-05,8.251595156275172,7.296147296225271,0.10177572228262216
4.75,4.2,0.421,0.062625,0.0,0.0165,12.925565672465941,2.3735846498779947,0.49223061936451734,2.268430166815511e-05,8.251595156275172,7.296147295939802,0.11268859580179238
4.75,4.2,0.421,0.062625,0.0,0.017,12.92625151284362,2.37434617163743,0.5146865357160295,2.2998074324627818e-05,8.251595156275172,7.2961472958561995,0.12469396126068824
4.75,4.2,0.421,0.062625,0.0,0.0175,12.926937691198503,2.375111409917893,0.5371949899650186,2.3320481490299305e-05,8.251595156275172,7.2961472958523945,0.13779885823336
4.75,4.2,0.421,0.062625,0.0,0.018,12.927624207689808,2.3758803625850513,0.559749624994366,2.365152459996543e-05,8.251595156275172,7.296147295826618,0.15200964767010613
4.75,4.2,0.421,0.062625,0.0,0.0185,12.928311062520507,2.376653027495934,0.5823450560885483,2.3991205074740726e-05,8.251595156275172,7.29614729629081,0.16733210075203173
4.75,4.2,0.421,0.062625,0.0,0.019,12.928998255742805,2.3774294024991955,0.6049766935832029,2.4339524321618632e-05,8.251595156275172,7.296147295668844,0.18377146921576512
4.75,4.2,0.421,0.062625,0.0,0.0195,12.929685787670932,2.378209485434874,0.6276406025980188,2.4696483734060453e-05,8.251595156275172,7.296147296048248,0.201332541596271
4.75,4.2,0.421,0.062625,0.0,0.02,12.930373658360715,2.3789932741346145,0.6503333911956111,2.5062084691428958e-05,8.251595156275172,7.296147295905118,0.2200196891399852
4.75,4.2,0.421,0.06293750000000001,0.0,0.011,12.918110712800411,2.382576391369518,0.25221697023017337,1.991452980240182e-05,8.251595156275172,7.296147296580389,0.049153442994808186
4.75,4.2,0.421,0.06293750000000001,0.0,0.0115,12.918796259313531,2.383296409118786,0.2729214755859514,2.0133866760432828e-05,8.251595156275172,7.2961472957533156,0.049870095683556354
4.75,4.2,0.421,0.06293750000000001,0.0,0.012,12.919482142108931,2.3840201434604733,0.2939796501779435,2.036181887615741e-05,8.251595156275172,7.296147295835322,0.05151239788295557
4.75,4.2,0.421,0.06293750000000001,0.0,0.012499999999999999,12.920168361297595,2.384747592401052,0.31532061817284296,2.059838774300148e-05,8.251595156275172,7.296147295932512,0.05411434434286823
4.75,4.2,0.421,0.06293750000000001,0.0,0.013,12.92085491705864,2.385478753938082,0.3368906164861011,2.084357494069747e-05,8.251595156275172,7.296147296124208,0.057702948131018714
4.75,4.2,0.421,0.06293750000000001,0.0,0.0135,12.921541809523369,2.386213626060326,0.35864829988774705,2.1097382035061008e-05,8.251595156275172,7.296147295819679,0.06230011238568184
4.75,4.2,0.421,0.06293750000000001,0.0,0.013999999999999999,12.922229038914853,2.386952206747723,0.38056145494425736,2.13598105782988e-05,8.251595156275172,7.29614729572798,0.06792393715438409
4.75,4.2,0.421,0.06293750000000001,0.0,0.014499999999999999,12.92291660542461,2.3876944939714586,0.4026046734463013,2.1630862108695977e-05,8.251595156275172,7.296147296128329,0.07458964208709652
4.75,4.2,0.421,0.06293750000000001,0.0,0.015,12.923604509147827,2.3884404856940495,0.4247576844481953,2.191053815062561e-05,8.251595156275172,7.296147295950652,0.08231022583544781
4.75,4.2,0.421,0.06293750000000001,0.0,0.0155,12.924292750300086,2.3891901798693023,0.44700414314447406,2.2198840214775976e-05,8.251595156275172,7.296147295825858,0.09109694319265821
4.75,4.2,0.421,0.06293750000000001,0.0,0.016,12.92498132906138,2.389943574442517,0.46933074035018807,2.2495769797967972e-05,8.251595156275172,7.296147295893512,0.10095965485680436
4.75,4.2,0.421,0.06293750000000001,0.0,0.0165,12.925670245586128,2.3907006673503424,0.4917265397232209,2.280132838319241e-05,8.251595156275172,7.296147295943731,0.11190708696768437
4.75,4.2,0.421,0.06293750000000001,0.0,0.017,12.926359500031198,2.391461456520999,0.5141824787363019,2.311551743954584e-05,8.251595156275172,7.296147295810617,0.12394702612177713
4.75,4.2,0.421,0.06293750000000001,0.0,0.0175,12.92704909260375,2.3922259398741477,0.5366909887896162,2.3438338422421354e-05,8.251595156275172,7.296147296037413,0.13708646773198047
4.75,4.2,0.421,0.06293750000000001,0.0,0.018,12.927739023429552,2.3929941153211565,0.5592457030032486,2.3769792773232785e-05,8.251595156275172,7.296147296040342,0.15133173035829312
4.75,4.2,0.421,0.06293750000000001,0.0,0.0185,12.928429292668666,2.3937659807649436,0.5818412292447398,2.410988191960681e-05,8.251595156275172,7.296147295724301,0.16668854485774248
4.75,4.2,0.421,0.06293750000000001,0.0,0.019,12.929119900572493,2.3945415341001404,0.6044729721998018,2.4458607275419392e-05,8.251595156275172,7.296147296278174,0.18316212486020345
4.75,4.2,0.421,0.06293750000000001,0.0,0.0195,12.929810847201267,2.3953207732131756,0.6271369926782392,2.4815970240489593e-05,8.251595156275172,7.296147296233883,0.20075722330106777
4.75,4.2,0.421,0.06293750000000001,0.0,0.02,12.93050213276998,2.3961036959821125,0.649829895455042,2.5181972200919583e-05,8.251595156275172,7.296147296279349,0.2194781782117719
4.75,4.2,0.421,0.06325,0.0,0.011,12.918177982171764,2.3996990181140925,0.25172537044983706,2.002646369094743e-05,8.251595156275172,7.2961472958477005,0.048607931330815236
4.75,4.2,0.421,0.06325,0.0,0.0115,12.918866941470265,2.400418558999069,0.27242603436178425,2.024624508921739e-05,8.251595156275172,7.296147296348295,0.04935651722106966
4.75,4.2,0.421,0.06325,0.0,0.012,12.919556237026933,2.4011417939923576,0.29348148522942297,2.0474638973218013e-05,8.251595156275172,7.296147295719183,0.05103097031796104
4.75,4.2,0.421,0.06325,0.0,0.012499999999999999,12.920245869160457,2.401868721142613,0.3148205195928661,2.0711646943328416e-05,8.251595156275172,7.296147295986678,0.05366534396653353
4.75,4.2,0.421,0.06325,0.0,0.013,12.920935837959666,2.4025993384899498,0.3363891487453563,2.0957270585719463e-05,8.251595156275172,7.296147295938953,0.057286670550599786
4.75,4.2,0.421,0.06325,0.0,0.0135,12.921626143603463,2.403333644065755,0.35814587009095306,2.12115114728525e-05,8.251595156275172,7.2961472956486535,0.06191684696058903
4.75,4.2,0.421,0.06325,0.0,0.013999999999999999,12.922316786322327,2.4040716358929313,0.38005835904865093,2.1474371163537898e-05,8.251595156275172,7.296147295910919,0.06757395056398202
4.75,4.2,0.421,0.06325,0.0,0.014499999999999999,12.923007766248588,2.4048133119857797,0.40210112796008174,2.17458512025738e-05,8.251595156275172,7.29614729615995,0.07427316793858824
4.75,4.2,0.421,0.06325,0.0,0.015,12.923699083525442,2.4055586703501604,0.424253848452762,2.2025953120985518e-05,8.251595156275172,7.296147295987209,0.0820274582863296
4.75,4.2,0.421,0.06325,0.0,0.0155,12.9243907383761,2.4063077089834546,0.4465001337875303,2.2314678436113553e-05,8.251595156275172,7.296147296118251,0.09084803337158986
4.75,4.2,0.421,0.06325,0.0,0.016,12.925082730942371,2.4070604258747026,0.4688266438767703,2.2612028651301797e-05,8.251595156275172,7.29614729614338,0.10074470918981462
4.75,4.2,0.421,0.06325,0.0,0.0165,12.925775061371544,2.40781681900455,0.4912224194187525,2.2918005256095716e-05,8.251595156275172,7.296147295739057,0.11172616681067439
4.75,4.2,0.421,0.06325,0.0,0.017,12.926467729912053,2.408576886345339,0.5136783807064352,2.3232609726424932e-05,8.251595156275172,7.296147296008047,0.12380014830541353
4.75,4.2,0.421,0.06325,0.0,0.0175,12.927160736662058,2.409340625861244,0.5361869462071235,2.3555843524114464e-05,8.251595156275172,7.296147295957788,0.13697360583005325
4.75,4.2,0.421,0.06325,0.0,0.018,12.927854081810587,2.410108035508119,0.5587417392564444,2.3887708097208686e-05,8.251595156275172,7.296147295875221,0.15125281632442245
4.75,4.2,0.421,0.06325,0.0,0.0185,12.928547765563119,2.4108791132336838,0.5813373602908424,2.4228204880108375e-05,8.251595156275172,7.296147296282551,0.16664347102111643
4.75,4.2,0.421,0.06325,0.0,0.019,12.92924178800954,2.4116538569776447,0.6039692083370971,2.4577335293006052e-05,8.251595156275172,7.296147296104708,0.18315074617650165
4.75,4.2,0.421,0.06325,0.0,0.0195,12.929936149373152,2.41243226467151,0.6266333398895443,2.4935100742621945e-05,8.251595156275172,7.29614729612601,0.20077935961565072
4.75,4.2,0.421,0.06325,0.0,0.02,12.930630849770138,2.413214334238888,0.6493263564324505,2.530150262155563e-05,8.251595156275172,7.29614729566066,0.21953361673325777
4.75,4.2,0.421,0.0635625,0.0,0.011,12.91824549437143,2.416821681242356,0.25123378072312025,2.0138057450220202e-05,8.251595156275172,7.2961472960974545,0.04866831234040634
