beta_u,beta_d,tw12,tw23,eps_cp,q_cp,theta12,theta23,theta13,J,Hu,Hd,cp_total,LOSS
4.75,4.2,0.422,0.062,0.001,0.5,12.985906422552288,2.3169512719224556,0.19816420998748044,1.4174063809439981e-05,8.251595156157334,7.296147296036719,0.004422072850943039,0.11294215816186366
4.75,4.2,0.422,0.062,0.001,0.75,12.98712573989267,2.3210846815773047,0.1977898282623901,1.4341438815667143e-05,8.251595156157334,7.2961472961122515,0.003904126221124708,0.10901554605317162
4.75,4.2,0.422,0.062,0.001,1.0,12.988117210493922,2.3245459543177853,0.1974973246088633,1.4471941249582891e-05,8.251595156157334,7.296147295940378,0.0035,0.10601129835543831
4.75,4.2,0.422,0.062,0.001,1.25,12.988930246274332,2.3274437845539584,0.197264610828336,1.4575582900024434e-05,8.251595156157334,7.296147295719152,0.003178820949461969,0.10366354609969446
4.75,4.2,0.422,0.062,0.001,1.5,12.989603932917026,2.3298819285778203,0.1970762686422686,1.4659334193485585e-05,8.251595156157334,7.296147295862832,0.0029191016903316745,0.10179233998554538
4.75,4.2,0.422,0.062,0.001,1.75,12.990168349022277,2.331948568117851,0.1969214047363243,1.472810735374773e-05,8.251595156157334,7.2961472959393605,0.002705695385192098,0.1002738949630867
4.75,4.2,0.422,0.062,0.001,2.0,12.990646393102924,2.3337150394313193,0.19679222067852364,1.4785410873528575e-05,8.251595156157334,7.296147296015373,0.002527777777777778,0.09902160857300951
4.75,4.2,0.422,0.062,0.001,2.25,12.99105547208539,2.335237819070766,0.19668305481374385,1.483378672259908e-05,8.251595156157334,7.296147295977447,0.0023775015401945212,0.09797383798493846
4.75,4.2,0.422,0.062,0.001,2.5,12.991408872965755,2.336561280611913,0.19658973645068692,1.4875104123746215e-05,8.251595156157334,7.296147296040571,0.0022490924700590787,0.0970859417372586
4.75,4.2,0.422,0.062,0.001,2.75,12.99171681433762,2.3377202938053046,0.19650914737116648,1.4910758428679158e-05,8.251595156157334,7.296147295996301,0.0021382375188592614,0.09632503505462653
4.75,4.2,0.422,0.062,0.001,3.0,12.991987230056274,2.3387423872410738,0.19643892159098494,1.4941806930976118e-05,8.251595156157334,7.296147295973451,0.002041666666666667,0.09566648895967156
4.75,4.2,0.422,0.062,0.002,0.5,12.977848786424353,2.2957239671993968,0.20133882562807817,1.2746955646967921e-05,8.251595156157334,7.296147296378534,0.008844145701886078,0.149137215553183
4.75,4.2,0.422,0.062,0.002,0.75,12.979358418835,2.298418224883057,0.20059840000918425,1.3080108381257477e-05,8.251595156157334,7.29614729644589,0.007808252442249416,0.14030054545258916
4.75,4.2,0.422,0.062,0.002,1.0,12.980696929057762,2.3014932003582658,0.20001939413758194,1.3340779507351602e-05,8.251595156157334,7.296147296134339,0.007,0.13354293106086282
4.75,4.2,0.422,0.062,0.002,1.25,12.981861102495149,2.304542771965895,0.1995583628725782,1.354825966024941e-05,8.251595156157334,7.296147296028463,0.006357641898923938,0.1282651022867506
4.75,4.2,0.422,0.062,0.002,1.5,12.982867509872362,2.307399533496504,0.19918496656622137,1.3716165153207505e-05,8.251595156157334,7.296147295979267,0.005838203380663349,0.12406246925562826
4.75,4.2,0.422,0.062,0.002,1.75,12.983737952457746,2.3100074056691766,0.1988777502816489,1.385417569197897e-05,8.251595156157334,7.296147295772466,0.005411390770384196,0.12065635520128208
4.75,4.2,0.422,0.062,0.002,2.0,12.98449363282392,2.312360634370801,0.19862133929104792,1.396924465746005e-05,8.251595156157334,7.296147296314852,0.005055555555555556,0.11785139310371225
4.75,4.2,0.422,0.062,0.002,2.25,12.985153151043868,2.3144746998995207,0.1984045609338572,1.4066429615970481e-05,8.251595156157334,7.296147295799525,0.0047550030803890425,0.11550827624719
4.75,4.2,0.422,0.062,0.002,2.5,12.98573211095718,2.3163726279686068,0.19821917771833578,1.4149459815495334e-05,8.251595156157334,7.296147296388813,0.0044981849401181575,0.1135259939801138
4.75,4.2,0.422,0.062,0.002,2.75,12.98624334474558,2.318078740729112,0.19805902617752913,1.4221124584497258e-05,8.251595156157334,7.296147295694553,0.004276475037718523,0.11183008398158442
4.75,4.2,0.422,0.062,0.002,3.0,12.98669732830722,2.3196159842807718,0.19791942655509293,1.4283540538823254e-05,8.251595156157334,7.296147295814857,0.004083333333333334,0.11036476219327397
4.75,4.2,0.422,0.062,0.003,0.5,12.974006194914558,2.3000348153818324,0.204484111137476,1.1346030607098205e-05,8.251595156157334,7.296147295926255,0.013266218552829119,0.1890798735095707
4.75,4.2,0.422,0.062,0.003,0.75,12.974875913206986,2.2956009555150154,0.20338102811782818,1.1833279403945449e-05,8.251595156157334,7.2961472958365245,0.011712378663374125,0.17459905254951208
4.75,4.2,0.422,0.062,0.003,1.0,12.97591609664061,2.294336430662709,0.20251901721558005,1.2217572582308087e-05,8.251595156157334,7.296147296157651,0.010499999999999999,0.16365365480048222
4.75,4.2,0.422,0.062,0.003,1.25,12.976968814105005,2.2947064526701357,0.20183272930323143,1.2525075066705665e-05,8.251595156157334,7.296147295966845,0.009536462848385907,0.15514814459471102
