# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537524526e+01 
       2.326965112415e-05       1.050300524713e+02 
       3.616368416872e-05       1.608004190353e+02 
       4.913719191725e-05       2.162184422685e+02 
       6.222526306445e-05       2.716135683917e+02 
       7.546386573355e-05       3.272350781173e+02 
       8.889016871877e-05       3.832976870239e+02 
       1.025428768881e-04       4.400002619972e+02 
       1.164625850318e-04       4.975354595514e+02 
       1.306921544768e-04       5.560955874726e+02 
       1.452771167917e-04       6.158767098351e+02 
       1.602661088538e-04       6.770818627170e+02 
       1.757113433749e-04       7.399238149091e+02 
       1.916691186261e-04       8.046276083190e+02 
       2.082003704664e-04       8.714329999157e+02 
       2.253712687320e-04       9.405968881916e+02 
       2.432538584340e-04       1.012395745254e+03 
       2.619267438085e-04       1.087128084197e+03 
       2.814758098240e-04       1.165116929032e+03 
       3.019949709311e-04       1.246712254484e+03 
       3.235869302956e-04       1.332293316296e+03 
       3.463639240694e-04       1.422270766557e+03 
       3.704484140748e-04       1.517088385186e+03 
       3.959736783305e-04       1.617224230509e+03 
       4.230842321522e-04       1.723190921004e+03 
       4.519359935960e-04       1.835534712311e+03 
       4.826960870561e-04       1.954832963583e+03 
       5.155421603026e-04       2.081689526440e+03 
       5.506610770747e-04       2.216727578770e+03 
       5.882468451593e-04       2.360579416906e+03 
       6.284976558419e-04       2.513872886530e+03 
       6.716119524841e-04       2.677214254362e+03 
       7.177835202354e-04       2.851167694384e+03 
       7.671956976641e-04       3.036232032346e+03 
       8.200149485639e-04       3.232815837373e+03 
       8.763841814321e-04       3.441212619012e+03 
       9.364163367091e-04       3.661578174175e+03 
       1.000188842050e-03       3.893912553805e+03 
       1.067739530131e-03       4.138048808525e+03 
       1.139064503232e-03       4.393650218323e+03 
       1.214118221415e-03       4.660216781226e+03 
       1.292815822631e-03       4.937100928154e+03 
       1.375037409658e-03       5.223510080300e+03 
       1.460633819102e-03       5.518572228538e+03 
       1.549433263643e-03       5.821370253371e+03 
       1.641248223755e-03       6.130931098827e+03 
       1.735882043984e-03       6.446272510258e+03 
       1.833134827612e-03       6.766426374034e+03 
       1.932808383248e-03       7.090457893298e+03 
       2.034710125310e-03       7.417479737526e+03 
       2.138655947702e-03       7.746661729199e+03 
       2.244472168970e-03       8.077237257872e+03 
       2.351996690194e-03       8.408504831379e+03 
       2.461079521215e-03       8.739830673150e+03 
       2.571582825405e-03       9.070642180168e+03 
       2.683380616443e-03       9.400428718595e+03 
       2.796358218551e-03       9.728736855364e+03 
       2.910411578940e-03       1.005516448515e+04 
       3.025446500155e-03       1.037935853392e+04 
       3.141377841964e-03       1.070100809344e+04 
       3.258128727682e-03       1.101984287571e+04 
       3.375629778325e-03       1.133562616127e+04 
       3.493818389235e-03       1.164815366959e+04 
       3.612638057434e-03       1.195724827403e+04 
       3.732037763424e-03       1.226275943237e+04 
       3.851971407996e-03       1.256455608204e+04 
       3.972397302585e-03       1.286253087136e+04 
       4.093277710397e-03       1.315658978612e+04 
       4.214578434808e-03       1.344665868548e+04 
       4.336268451195e-03       1.373267314505e+04 
       4.458319578280e-03       1.401458619208e+04 
       4.580706185135e-03       1.429235627182e+04 
       4.703404930208e-03       1.456594929581e+04 
       4.826394528974e-03       1.483530449411e+04 
       4.949655547086e-03       1.510050675961e+04 
       5.073170216191e-03       1.536146867786e+04 
       5.196922269879e-03       1.561821112995e+04 
       5.320896797456e-03       1.587077423222e+04 
       5.445080113527e-03       1.611917089433e+04 
       5.569459641572e-03       1.636335295681e+04 
       5.694023809915e-03       1.660261992966e+04 
       5.818761958675e-03       1.683846143950e+04 
       5.943664256446e-03       1.707016149300e+04 
       6.068721625606e-03       1.729769665933e+04 
       6.193925675282e-03       1.752122545127e+04 
       6.319268641115e-03       1.774084821982e+04 
       6.444743331067e-03       1.795662323558e+04 
       6.570343076612e-03       1.816789628933e+04 
       6.696061688712e-03       1.837529666751e+04 
       6.821893418064e-03       1.857871497067e+04 
       6.947832919166e-03       1.877832629669e+04 
       7.073875217785e-03       1.897407745448e+04 
       7.200015681476e-03       1.916595565254e+04 
       7.326249992837e-03       1.935404214296e+04 
       7.452574125202e-03       1.953822260259e+04 
       7.578984320550e-03       1.971886691934e+04 
       7.705477069379e-03       1.989631577658e+04 
       7.832049092365e-03       2.006958404300e+04 
       7.958697323625e-03       2.023922019811e+04 
       8.085418895432e-03       2.040527660782e+04 
       8.212211124224e-03       2.056784230466e+04 
       8.339071497814e-03       2.072688214300e+04 
       8.465997663657e-03       2.088244544464e+04 
       8.592987418093e-03       2.103458589730e+04 
       8.720038696471e-03       2.118333590108e+04 
       8.847149564069e-03       2.132872280021e+04 
       8.974318207751e-03       2.147074896926e+04 
       9.101542928276e-03       2.160952609760e+04 
       9.228822133218e-03       2.174505550899e+04 
       9.356154330437e-03       2.187736350110e+04 
       9.483538122048e-03       2.200650965503e+04 
       9.610972198861e-03       2.213251464143e+04 
       9.738455335230e-03       2.225544358012e+04 
       9.865986384300e-03       2.237521203841e+04 
       9.993564273599e-03       2.249205673310e+04 
       1.012118800096e-02       2.260576012235e+04 
       1.024885663075e-02       2.271655107535e+04 
       1.037656929035e-02       2.282448618431e+04 
       1.050432516691e-02       2.292943013465e+04 
       1.063212350435e-02       2.303145388183e+04 
       1.075996360053e-02       2.313077184949e+04 
       1.088784480465e-02       2.322710610079e+04 
       1.101576651488e-02       2.332079542634e+04 
       1.114372817602e-02       2.341171284249e+04 
       1.127172927752e-02       2.349993376062e+04 
       1.139976935144e-02       2.358545275609e+04 
       1.152784797069e-02       2.366832620754e+04 
       1.165596474734e-02       2.374859050781e+04 
       1.178411933107e-02       2.382626739925e+04 
       1.191231140769e-02       2.390138355611e+04 
       1.204054069778e-02       2.397403849945e+04 
       1.216880695546e-02       2.404401212728e+04 
       1.229710996722e-02       2.411163818398e+04 
       1.242544955078e-02       2.417679274458e+04 
       1.255382555417e-02       2.423957672089e+04 
       1.268223785470e-02       2.429995670844e+04 
       1.281068635814e-02       2.435802947623e+04 
       1.293917099791e-02       2.441371665746e+04 
       1.306769173434e-02       2.446713957476e+04 
       1.319624855393e-02       2.451823976623e+04 
       1.332484146880e-02       2.456714697589e+04 
       1.345347051603e-02       2.461385637953e+04 
       1.358213575713e-02       2.465839964460e+04 
       1.371083727760e-02       2.470067323496e+04 
       1.383957518639e-02       2.474081973814e+04 
       1.396834961557e-02       2.477886986245e+04 
       1.409716071990e-02       2.481488580265e+04 
       1.422600867652e-02       2.484884064192e+04 
       1.435489368463e-02       2.488073328305e+04 
       1.448381596521e-02       2.491058837424e+04 
       1.461277576080e-02       2.493852417743e+04 
       1.474177333527e-02       2.496447893282e+04 
       1.487080897367e-02       2.498852696530e+04 
       1.499988298201e-02       2.501058310860e+04 
       1.512899568719e-02       2.503083095415e+04 
       1.525814743687e-02       2.504917894423e+04 
       1.538733859939e-02       2.506574520404e+04 
       1.551656956372e-02       2.508042567749e+04 
       1.564584073940e-02       2.509338484942e+04 
       1.577515255657e-02       2.510452708145e+04 
       1.590450546593e-02       2.511400946074e+04 
       1.603389993880e-02       2.512171335138e+04 
       1.616333646718e-02       2.512772424820e+04 
       1.629281556376e-02       2.513208041025e+04 
       1.642233776207e-02       2.513473499358e+04 
       1.655190361655e-02       2.513574531933e+04 
       1.668151370268e-02       2.513528426592e+04 
       1.681116861713e-02       2.513313844294e+04 
       1.694086897792e-02       2.512956214065e+04 
       1.707061542457e-02       2.512427663196e+04 
       1.720040861833e-02       2.511751071865e+04 
       1.733024924236e-02       2.510924790805e+04 
       1.746013800200e-02       2.509956182526e+04 
       1.759007562495e-02       2.508839575482e+04 
       1.772006286159e-02       2.507484882702e+04 
       1.785010048523e-02       2.506180468530e+04 
       1.798018929242e-02       2.504556487824e+04 
       1.811033010322e-02       2.502966584754e+04 
       1.824052376159e-02       2.501068267371e+04 
