# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381336627212e-10       4.175854137243e-15       3.515761334749e-13       0.000000000000e+00       8.285702990388e-09       4.560794745592e-10      -1.840600392277e-12 
    3       1.306078806125e-10       5.350810315548e-15       3.951629131642e-13       0.000000000000e+00       5.086963412029e-09       3.225653754844e-10      -1.393870183184e-12 
    4       1.235421009845e-10       4.626465490588e-15       3.695432643572e-13       0.000000000000e+00       3.522982991531e-09       2.438408258398e-10      -9.122244530945e-13 
    5       1.182579424405e-10       3.084812192438e-15       3.147005104966e-13       0.000000000000e+00       2.621516323581e-09       1.923923568690e-10      -5.067134266253e-13 
    6       1.146363392598e-10       1.723975321556e-15       2.534560201846e-13       0.000000000000e+00       2.042590224048e-09       1.563935345111e-10      -2.080082702410e-13 
    7       1.122779238667e-10       9.313301769176e-16       1.990065002645e-13       0.000000000000e+00       1.644358489577e-09       1.299932281286e-10      -1.760735938285e-14 
    8       1.109026425714e-10       6.010299826003e-16       1.571249301758e-13       0.000000000000e+00       1.356592456031e-09       1.099887159499e-10       7.943228706684e-14 
    9       1.102624597850e-10       4.824150557626e-16       1.290910353875e-13       0.000000000000e+00       1.140654998569e-09       9.448216553526e-11       1.064493154818e-13 
   10       1.101270789729e-10       4.107615571137e-16       1.135808022838e-13       0.000000000000e+00       9.737536278289e-10       8.220664947438e-11       8.928875300626e-14 
   11       1.104374461608e-10       3.446669210523e-16       1.079365132343e-13       0.000000000000e+00       8.334433258747e-10       7.302003778061e-11       5.203859504670e-14 
