# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381341360044e-10       4.176086469834e-15       3.515761296148e-13       2.323325391253e-19       8.285702990388e-09       4.560794745592e-10      -1.840600392277e-12 
    3       1.306088248813e-10       5.351275071557e-15       3.951628959486e-13       4.647554966388e-19       5.086963412029e-09       3.225653754844e-10      -1.393870183184e-12 
    4       1.235436697229e-10       4.627240284911e-15       3.695432148419e-13       7.747918087923e-19       3.522982991531e-09       2.438408258398e-10      -9.122244530945e-13 
    5       1.182602862417e-10       3.085974758620e-15       3.147003975597e-13       1.162557578493e-18       2.621516323581e-09       1.923923568690e-10      -5.067134266253e-13 
    6       1.146396052472e-10       1.725603539200e-15       2.534557977982e-13       1.628194193916e-18       2.042590224048e-09       1.563935345111e-10      -2.080082702410e-13 
    7       1.122822552027e-10       9.335020974260e-16       1.990061049613e-13       2.171865982999e-18       1.644358489577e-09       1.299932281286e-10      -1.760735938285e-14 
    8       1.109081780647e-10       6.038238527735e-16       1.571242787430e-13       2.793757540786e-18       1.356592456031e-09       1.099887159499e-10       7.943228706684e-14 
    9       1.102693336039e-10       4.859093387368e-16       1.290900228118e-13       3.494070799462e-18       1.140654998569e-09       9.448216553526e-11       1.064493154818e-13 
   10       1.101354204668e-10       4.150349500597e-16       1.135792999688e-13       4.273021916563e-18       9.737536278289e-10       8.220664947438e-11       8.928875300626e-14 
   11       1.104473797899e-10       3.497983690438e-16       1.079343675026e-13       5.130838060172e-18       8.334433258747e-10       7.302003778061e-11       5.203859504670e-14 
   12       1.110541262360e-10       3.058520968877e-16       1.090982898162e-13       6.067754170780e-18       7.284077190266e-10       6.456655413406e-11       1.227936208605e-14 
   13       1.119051294367e-10       2.941989811392e-16       1.143885385503e-13       7.084009777847e-18       6.421587154818e-10       5.770050502565e-11      -1.799193965270e-14 
   14       1.129526941352e-10       3.068706405841e-16       1.217845410025e-13       8.179845945191e-18       5.703837951090e-10       5.172028443881e-11      -3.451660404899e-14 
   15       1.141840025208e-10       3.321251491001e-16       1.299979705609e-13       9.355502413074e-18       5.099592036134e-10       4.668968153935e-11      -3.750211477638e-14 
   16       1.155242869689e-10       3.674371008658e-16       1.383662039860e-13       1.061121499676e-17       4.585735342153e-10       4.235371116346e-11      -3.091056603056e-14 
   17       1.170006201668e-10       4.183429891964e-16       1.466671952222e-13       1.194721329141e-17       4.144843025662e-10       3.856964460878e-11      -1.993912559218e-14 
   18       1.185499707588e-10       4.902718310852e-16       1.551622584827e-13       1.336371859562e-17       3.762142307593e-10       3.526902131014e-11      -9.474495070366e-15 
   19       1.201836735866e-10       5.835496744447e-16       1.640746115784e-13       1.486094296472e-17       3.431461678221e-10       3.240462441462e-11      -2.117577417643e-15 
   20       1.218944381408e-10       6.961763604517e-16       1.735439660611e-13       1.643908661825e-17       3.140199528886e-10       2.986212807499e-11       4.238919754091e-16 
   21       1.236835736183e-10       8.275163286646e-16       1.835213482153e-13       1.809833907738e-17       2.883777531330e-10       2.759554805133e-11      -1.286532737162e-15 
   22       1.255250767213e-10       9.770827261730e-16       1.938186234866e-13       1.983887646933e-17       2.656025024930e-10       2.554789524756e-11      -5.504545943460e-15 
   23       1.274252910673e-10       1.145045290618e-15       2.041127657788e-13       2.166086429835e-17       2.453895403287e-10       2.371057277202e-11      -1.047674547944e-14 
   24       1.293784272859e-10       1.331619780836e-15       2.139912290646e-13       2.356445429117e-17       2.272775932141e-10       2.206682469809e-11      -1.433573677988e-14 
   25       1.313792961643e-10       1.537020972072e-15       2.231462676447e-13       2.554978772635e-17       2.110211412042e-10       2.059443024982e-11      -1.627002083744e-14 
   26       1.334102720211e-10       1.761618849888e-15       2.313141729120e-13       2.761699328831e-17       1.963021993341e-10       1.925659143620e-11      -1.595360765846e-14 
   27       1.354809510544e-10       2.007044760220e-15       2.384233329419e-13       2.976619466764e-17       1.830445489791e-10       1.804405379706e-11      -1.389854829104e-14 
   28       1.375940055981e-10       2.275555797025e-15       2.444852702151e-13       3.199750348794e-17       1.710876173652e-10       1.694140963212e-11      -1.110843294982e-14 
   29       1.397385085601e-10       2.569433150440e-15       2.495424774949e-13       3.431101951503e-17       1.601411755416e-10       1.592227619698e-11      -8.702997504397e-15 
   30       1.419210599800e-10       2.889768634629e-15       2.536432349275e-13       3.670684318680e-17       1.501449216595e-10       1.498560821545e-11      -7.071250195903e-15 
   31       1.441433778507e-10       3.237187829085e-15       2.568613826345e-13       3.918506695861e-17       1.410246854955e-10       1.413148211032e-11      -6.393858553225e-15 
   32       1.463974154309e-10       3.612262492770e-15       2.592646233221e-13       4.174577453614e-17       1.326362152989e-10       1.335292568219e-11      -6.758749499702e-15 
   33       1.486826398761e-10       4.015929509624e-15       2.607723341748e-13       4.438905125794e-17       1.249338571295e-10       1.264337805840e-11      -7.813600494455e-15 
