# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218102e-05       4.833537524257e+01 
       2.326965112342e-05       1.050300524702e+02 
       3.616368416807e-05       1.608004190359e+02 
       4.913719191669e-05       2.162184422706e+02 
       6.222526306398e-05       2.716135683953e+02 
       7.546386573317e-05       3.272350781225e+02 
       8.889016871848e-05       3.832976870308e+02 
       1.025428768879e-04       4.400002620055e+02 
       1.164625850317e-04       4.975354595612e+02 
       1.306921544768e-04       5.560955874841e+02 
       1.452771167918e-04       6.158767098483e+02 
       1.602661088541e-04       6.770818627319e+02 
       1.757113433752e-04       7.399238149255e+02 
       1.916691186266e-04       8.046276083373e+02 
       2.082003704669e-04       8.714329999359e+02 
       2.253712687328e-04       9.405968882139e+02 
       2.432538584349e-04       1.012395745278e+03 
       2.619267438096e-04       1.087128084224e+03 
       2.814758098253e-04       1.165116929060e+03 
       3.019949709326e-04       1.246712254515e+03 
       3.235869302973e-04       1.332293316330e+03 
       3.463639240714e-04       1.422270766593e+03 
       3.704484140771e-04       1.517088385226e+03 
       3.959736783330e-04       1.617224230552e+03 
       4.230842321551e-04       1.723190921049e+03 
       4.519359935994e-04       1.835534712360e+03 
       4.826960870599e-04       1.954832963636e+03 
       5.155421603068e-04       2.081689526498e+03 
       5.506610770795e-04       2.216727578831e+03 
       5.882468451648e-04       2.360579416972e+03 
       6.284976558480e-04       2.513872886602e+03 
       6.716119524910e-04       2.677214254440e+03 
       7.177835202431e-04       2.851167694468e+03 
       7.671956976726e-04       3.036232032437e+03 
       8.200149485734e-04       3.232815837468e+03 
       8.763841814427e-04       3.441212619116e+03 
       9.364163367208e-04       3.661578174287e+03 
       1.000188842063e-03       3.893912553925e+03 
       1.067739530145e-03       4.138048808655e+03 
       1.139064503247e-03       4.393650218463e+03 
       1.214118221432e-03       4.660216781374e+03 
       1.292815822649e-03       4.937100928312e+03 
       1.375037409677e-03       5.223510080468e+03 
       1.460633819123e-03       5.518572228716e+03 
       1.549433263665e-03       5.821370253556e+03 
       1.641248223778e-03       6.130931099025e+03 
       1.735882044008e-03       6.446272510469e+03 
       1.833134827638e-03       6.766426374254e+03 
       1.932808383275e-03       7.090457893526e+03 
       2.034710125338e-03       7.417479737766e+03 
       2.138655947732e-03       7.746661729448e+03 
       2.244472169001e-03       8.077237258129e+03 
       2.351996690227e-03       8.408504831738e+03 
       2.461079521249e-03       8.739830673430e+03 
       2.571582825440e-03       9.070642180453e+03 
       2.683380616479e-03       9.400428718893e+03 
       2.796358218588e-03       9.728736855671e+03 
       2.910411578978e-03       1.005516448547e+04 
