# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.369872446801e-10       4.156480405755e-15       3.514357480720e-13       0.000000000000e+00       8.291408398230e-09       4.501793995546e-10      -1.835980497456e-12 
    3       1.297015755455e-10       5.336164455915e-15       3.947151423061e-13       0.000000000000e+00       5.097102239623e-09       3.187607750104e-10      -1.391741247478e-12 
    4       1.228001994690e-10       4.624229477757e-15       3.690800302204e-13       0.000000000000e+00       3.530323108708e-09       2.410884929239e-10      -9.124738112759e-13 
    5       1.176261413194e-10       3.090707416078e-15       3.143728873124e-13       0.000000000000e+00       2.626876135202e-09       1.902119437852e-10      -5.084410800279e-13 
    6       1.140716319134e-10       1.730472072157e-15       2.532684731902e-13       0.000000000000e+00       2.046654527346e-09       1.546091415144e-10      -2.102301243232e-13 
    7       1.118088051718e-10       9.346812411860e-16       1.989141728325e-13       0.000000000000e+00       1.647422865284e-09       1.285872238795e-10      -1.956859368542e-14 
    8       1.104835101947e-10       6.018002634827e-16       1.570800334163e-13       0.000000000000e+00       1.358977834374e-09       1.088903768130e-10       7.816167844194e-14 
    9       1.098657100292e-10       4.825777787001e-16       1.290309774949e-13       0.000000000000e+00       1.142616103172e-09       9.352752592167e-11       1.059799114277e-13 
   10       1.097678801647e-10       4.112931077247e-16       1.134434802151e-13       0.000000000000e+00       9.754308001192e-10       8.129935634587e-11       8.949854314533e-14 
   11       1.100728375695e-10       3.452868564096e-16       1.077154787386e-13       0.000000000000e+00       8.346571494089e-10       7.217302736270e-11       5.261667715440e-14 
   12       1.107261404785e-10       2.999548156861e-16       1.088444274904e-13       0.000000000000e+00       7.294563250413e-10       6.395148299299e-11       1.303990616820e-14 
   13       1.116076956179e-10       2.867522235018e-16       1.140860595024e-13       0.000000000000e+00       6.430737206366e-10       5.714229596140e-11      -1.746042892527e-14 
   14       1.126400311549e-10       2.980261279722e-16       1.214372508207e-13       0.000000000000e+00       5.711892158295e-10       5.119047254778e-11      -3.428393337134e-14 
   15       1.138493653621e-10       3.218932437368e-16       1.296336098102e-13       0.000000000000e+00       5.106735829233e-10       4.617762549893e-11      -3.758116052122e-14 
   16       1.152439371140e-10       3.556373337789e-16       1.379536466998e-13       0.000000000000e+00       4.592114912772e-10       4.192972859178e-11      -3.121040637625e-14 
   17       1.166934876117e-10       4.046015573923e-16       1.462740836455e-13       0.000000000000e+00       4.150574065978e-10       3.826399949592e-11      -2.031078156760e-14 
   18       1.182453287022e-10       4.742662262525e-16       1.547679498795e-13       0.000000000000e+00       3.767316018853e-10       3.497318920837e-11      -9.861700439776e-15 
   19       1.199149610830e-10       5.651323983428e-16       1.636316193017e-13       0.000000000000e+00       3.436160622121e-10       3.205319398625e-11      -2.462525230372e-15 
   20       1.216332210451e-10       6.753790105381e-16       1.730279188677e-13       0.000000000000e+00       3.144483786643e-10       2.950221034802e-11       2.143305093778e-16 
   21       1.234139739975e-10       8.042644315042e-16       1.829420721337e-13       0.000000000000e+00       2.887699373127e-10       2.728257895296e-11      -1.294551769679e-15 
   22       1.252649571746e-10       9.511193090651e-16       1.932211770515e-13       0.000000000000e+00       2.659627546013e-10       2.530463518578e-11      -5.305661434877e-15 
   23       1.271760952317e-10       1.116203055780e-15       2.035323491179e-13       0.000000000000e+00       2.457216853886e-10       2.352398626199e-11      -1.013859368089e-14 
   24       1.291133970077e-10       1.299884699299e-15       2.134378874919e-13       0.000000000000e+00       2.275847389550e-10       2.189218422076e-11      -1.399406606814e-14 
   25       1.310883401419e-10       1.502284081465e-15       2.226247626283e-13       0.000000000000e+00       2.113060018984e-10       2.040711100503e-11      -1.603670074832e-14 
   26       1.331123075682e-10       1.723598643955e-15       2.308294770820e-13       0.000000000000e+00       1.965669983561e-10       1.906765205690e-11      -1.587861623680e-14 
