# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.369877187435e-10       4.156713000365e-15       3.514357442279e-13       2.325945528736e-19       8.291408398230e-09       4.501793995546e-10      -1.835980497456e-12 
    3       1.297025213538e-10       5.336629732623e-15       3.947151251618e-13       4.652761395286e-19       5.097102239623e-09       3.187607750104e-10      -1.391741247478e-12 
    4       1.228017707280e-10       4.625005132783e-15       3.690799809080e-13       7.756522352520e-19       3.530323108708e-09       2.410884929239e-10      -9.124738112759e-13 
    5       1.176284888193e-10       3.091871260637e-15       3.143727748318e-13       1.163835003340e-18       2.626876135202e-09       1.902119437852e-10      -5.084410800279e-13 
    6       1.140749029449e-10       1.732102059588e-15       2.532682516875e-13       1.629961375960e-18       2.046654527346e-09       1.546091415144e-10      -2.102301243232e-13 
    7       1.118131430334e-10       9.368554927803e-16       1.989137790700e-13       2.174190985874e-18       1.647422865284e-09       1.285872238795e-10      -1.956859368542e-14 
    8       1.104890537983e-10       6.045970925459e-16       1.570793844668e-13       2.796703793489e-18       1.358977834374e-09       1.088903768130e-10       7.816167844194e-14 
    9       1.098725936137e-10       4.860757123071e-16       1.290299686845e-13       3.497697463673e-18       1.142616103172e-09       9.352752592167e-11       1.059799114277e-13 
   10       1.097762331192e-10       4.155709055615e-16       1.134419833347e-13       4.277384551920e-18       9.754308001192e-10       8.129935634587e-11       8.949854314533e-14 
   11       1.100827843671e-10       3.504235260408e-16       1.077133405387e-13       5.135989562892e-18       8.346571494089e-10       7.217302736270e-11       5.261667715440e-14 
   12       1.107378007150e-10       3.060296235637e-16       1.088414684674e-13       6.073745946221e-18       7.294563250413e-10       6.395148299299e-11       1.303990616820e-14 
   13       1.116211841483e-10       2.938447010327e-16       1.140820729820e-13       7.090893094481e-18       6.430737206366e-10       5.714229596140e-11      -1.746042892527e-14 
   14       1.126554583167e-10       3.062160720041e-16       1.214320023365e-13       8.187673406580e-18       5.711892158295e-10       5.119047254778e-11      -3.428393337134e-14 
   15       1.138668372715e-10       3.312607108950e-16       1.296268367725e-13       9.364329476479e-18       5.106735829233e-10       4.617762549893e-11      -3.758116052122e-14 
   16       1.152635560189e-10       3.662626282025e-16       1.379450583459e-13       1.062110146227e-17       4.592114912772e-10       4.192972859178e-11      -3.121040637625e-14 
   17       1.167153522854e-10       4.165652115641e-16       1.462633612588e-13       1.195822468430e-17       4.150574065978e-10       3.826399949592e-11      -2.031078156760e-14 
