# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.37455 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826327e-05       4.746983039446e+01 
       2.340509133114e-05       1.032608687112e+02 
       3.638255171387e-05       1.581583835038e+02 
       4.944099241502e-05       2.127218752938e+02 
       6.261619266315e-05       2.672751859917e+02 
       7.594483945287e-05       3.220643732177e+02 
       8.946485943912e-05       3.773020786115e+02 
       1.032157656313e-04       4.331857685995e+02 
       1.172390233675e-04       4.899071552341e+02 
       1.315784400831e-04       5.476579499919e+02 
       1.462805833929e-04       6.066339192873e+02 
       1.613952319398e-04       6.670380712555e+02 
       1.769758632770e-04       7.290834212916e+02 
       1.930801826540e-04       7.929955323797e+02 
       2.097706958886e-04       8.590149816229e+02 
       2.271153283683e-04       9.273998052084e+02 
       2.451880904712e-04       9.984279611688e+02 
       2.640697870973e-04       1.072399821959e+03 
       2.838487652609e-04       1.149640676448e+03 
       3.046216884777e-04       1.230503188736e+03 
       3.264943195872e-04       1.315369741795e+03 
       3.495822842575e-04       1.404654543920e+03 
       3.740117753490e-04       1.498805327343e+03 
       3.999201433013e-04       1.598304424965e+03 
       4.274562998293e-04       1.703668908757e+03 
       4.567808420525e-04       1.815449484891e+03 
       4.880657832575e-04       1.934227643102e+03 
       5.214937575691e-04       2.060610655383e+03 
       5.572565533210e-04       2.195223872823e+03 
       5.955528301348e-04       2.338699885452e+03 
       6.365848954209e-04       2.491664189119e+03 
       6.805544654215e-04       2.654717256023e+03 
       7.276574203439e-04       2.828413231391e+03 
       7.780776836563e-04       3.013235999195e+03 
       8.319805040432e-04       3.209573879767e+03 
       8.895055744706e-04       3.417694800209e+03 
       9.507605540451e-04       3.637724168127e+03 
       1.015815626368e-03       3.869627924042e+03 
       1.084699699437e-03       4.113202852538e+03 
       1.157398712241e-03       4.368075912628e+03 
       1.233856276673e-03       4.633712922017e+03 
       1.313976594587e-03       4.909436192199e+03 
       1.397629310913e-03       5.194423007918e+03 
       1.484655754493e-03       5.487796286177e+03 
       1.574875916525e-03       5.788623175512e+03 
       1.668095528510e-03       6.095928174828e+03 
       1.764112704755e-03       6.408733254237e+03 
       1.862723769977e-03       6.726080207026e+03 
       1.963728059920e-03       7.047048341160e+03 
       2.066931631177e-03       7.370767981191e+03 
       2.172149928393e-03       7.696429109301e+03 
       2.279209528398e-03       8.023285626894e+03 
       2.387949116031e-03       8.350658605043e+03 
       2.498219854176e-03       8.677933370747e+03 
       2.609885300350e-03       9.004559391410e+03 
       2.722821002176e-03       9.330045185122e+03 
       2.836913880337e-03       9.653955210552e+03 
       2.952061484092e-03       9.975904482415e+03 
       3.068171183285e-03       1.029555447729e+04 
       3.185159342959e-03       1.061260960105e+04 
       3.302950512456e-03       1.092681099728e+04 
       3.421476649825e-03       1.123793561519e+04 
       3.540676394158e-03       1.154578616829e+04 
       3.660494392512e-03       1.185019706239e+04 
       3.780880683908e-03       1.215102486117e+04 
       3.901790140068e-03       1.244814833777e+04 
       4.023181960736e-03       1.274146373289e+04 
       4.145019220328e-03       1.303088405858e+04 
       4.267268462079e-03       1.331634056970e+04 
       4.389899335606e-03       1.359777298327e+04 
       4.512884273795e-03       1.387513909787e+04 
       4.636198205096e-03       1.414839781694e+04 
       4.759818297501e-03       1.441751006227e+04 
       4.883723730784e-03       1.468246354094e+04 
       5.007895493880e-03       1.494328469097e+04 
       5.132316204582e-03       1.519992754682e+04 
       5.256969949001e-03       1.545235338412e+04 
       5.381842138547e-03       1.570071886454e+04 
       5.506919382402e-03       1.594493123979e+04 
       5.632189373715e-03       1.618498200008e+04 
       5.757640787928e-03       1.642017931400e+04 
       5.883263191858e-03       1.665201333517e+04 
       6.009046962286e-03       1.687974282094e+04 
       6.134983212994e-03       1.710336252373e+04 
       6.261063729283e-03       1.732306607468e+04 
       6.387280909135e-03       1.753886559658e+04 
       6.513627710278e-03       1.775093561426e+04 
       6.640097602511e-03       1.795851401492e+04 
       6.766684524701e-03       1.816227716745e+04 
       6.893382845959e-03       1.836221578631e+04 
       7.020187330529e-03       1.855832793721e+04 
       7.147093106015e-03       1.875062950514e+04 
       7.274095634574e-03       1.893895294597e+04 
       7.401190686791e-03       1.912379546197e+04 
       7.528374317928e-03       1.930476017366e+04 
       7.655642846335e-03       1.948268781430e+04 
       7.782992833784e-03       1.965643839181e+04 
       7.910421067544e-03       1.982657977416e+04 
       8.037924544026e-03       1.999317578778e+04 
       8.165500453831e-03       2.015625856213e+04 
       8.293146168086e-03       2.031584253397e+04 
       8.420859225933e-03       2.047199928319e+04 
       8.548637323054e-03       2.062472839697e+04 
       8.676478301160e-03       2.077408159618e+04 
       8.804380138325e-03       2.092009630181e+04 
       8.932340940114e-03       2.106276917188e+04 
       9.060358931413e-03       2.120219904813e+04 
       9.188432448914e-03       2.133840334604e+04 
       9.316559934186e-03       2.147140331044e+04 
       9.444739927286e-03       2.160125238858e+04 
       9.572971060860e-03       2.172796152917e+04 
       9.701252054703e-03       2.185157346676e+04 
       9.829581710719e-03       2.197213675178e+04 
       9.957958908264e-03       2.208967295936e+04 
       1.008638259984e-02       2.220421154189e+04 
       1.021485180711e-02       2.231579231000e+04 
       1.034336561718e-02       2.242380824471e+04 
       1.047192317919e-02       2.253021736463e+04 
       1.060052370111e-02       2.263314089051e+04 
