# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982983421e+01 
       1.318525239892e-05       5.930165284285e+01 
       1.659924930592e-05       7.408252098093e+01 
       2.089721676792e-05       9.254735698494e+01 
       2.630803722491e-05       1.156142199045e+02 
       3.311985659687e-05       1.444298173380e+02 
       4.169542910477e-05       1.804263265037e+02 
       5.249143525566e-05       2.253922103142e+02 
       6.608280174490e-05       2.815603297292e+02 
       8.319331839921e-05       3.517174127414e+02 
       1.047341826243e-04       4.393394724185e+02 
       1.318525239892e-04       5.487584977250e+02 
       1.659924930592e-04       6.853658712055e+02 
       2.089721676792e-04       8.558572779566e+02 
       2.630803722491e-04       1.068521533551e+03 
       3.311985659687e-04       1.333570618058e+03 
       4.169542910477e-04       1.663499383441e+03 
       5.249143525566e-04       2.073451478933e+03 
       6.608280174490e-04       2.581554483528e+03 
       8.319331839921e-04       3.209164829671e+03 
       1.047341826243e-03       3.980890178789e+03 
       1.318525239892e-03       4.924094790056e+03 
       1.659924930592e-03       6.067350858923e+03 
       2.089721676792e-03       7.438212052137e+03 
       2.630803722491e-03       9.058525245389e+03 
       3.311985659687e-03       1.093791356441e+04 
       4.169542910477e-03       1.306435633667e+04 
       5.249143525566e-03       1.539156088412e+04 
       6.608280174490e-03       1.782418072046e+04 
       8.319331839921e-03       2.020072963491e+04 
       1.047341826243e-02       2.227575191195e+04 
       1.318525239892e-02       2.371411159196e+04 
       1.659924930589e-02       2.411076432537e+04 
       2.089721660966e-02       2.308754768039e+04 
       2.630791517064e-02       2.050780053017e+04 
       3.310278266545e-02       1.679203909954e+04 
       4.112178767552e-02       1.317028202649e+04 
       4.790628827007e-02       1.109262849607e+04 
       5.282242665187e-02       1.005364857656e+04 
       5.687266276680e-02       9.394478220185e+03 
       6.048713924368e-02       8.896508408097e+03 
       6.385726918410e-02       8.468928108711e+03 
       6.708422356736e-02       8.068725111802e+03 
       7.022860457005e-02       7.672801406682e+03 
       7.333018959056e-02       7.269690073794e+03 
       7.641699559410e-02       6.856535802212e+03 
       7.950991500338e-02       6.435231265858e+03 
       8.262529000559e-02       6.011340617847e+03 
       8.577643711185e-02       5.593890442436e+03 
       8.897459779263e-02       5.192166675111e+03 
       9.222955666815e-02       4.815637471904e+03 
       9.555005766204e-02       4.472838241596e+03 
       9.894409227589e-02       4.169395626583e+03 
       1.024191040344e-01       3.908400584527e+03 
       1.059821362664e-01       3.689900009740e+03 
       1.096399405347e-01       3.510732072308e+03 
       1.133990570783e-01       3.364421614077e+03 
       1.172658749375e-01       3.241779682809e+03 
       1.212466770795e-01       3.132096393009e+03 
       1.253476743179e-01       3.023890576457e+03 
       1.295750308144e-01       2.906707052905e+03 
       1.339348832875e-01       2.773077027316e+03 
       1.384333556058e-01       2.620769728748e+03 
       1.430765701509e-01       2.452599254132e+03 
       1.478706571398e-01       2.276290444674e+03 
       1.528217629711e-01       2.102925948187e+03 
       1.579360585777e-01       1.943636667838e+03 
       1.632197487220e-01       1.807095523874e+03 
       1.686790831324e-01       1.697208678741e+03 
       1.743203703668e-01       1.612376638043e+03 
       1.801499952696e-01       1.545689271572e+03 
       1.861744408844e-01       1.487169475699e+03 
       1.924003156767e-01       1.425486904756e+03 
       1.988343869261e-01       1.352315307895e+03 
       2.054836211606e-01       1.266401918996e+03 
       2.123552325365e-01       1.173407694795e+03 
       2.194567401281e-01       1.083150473813e+03 
       2.267960351861e-01       1.004183761623e+03 
       2.343814595738e-01       9.406680342906e+02 
       2.422218968055e-01       8.915875048155e+02 
       2.503268774194e-01       8.501382965466e+02 
       2.587067008331e-01       8.078409802424e+02 
       2.673725763982e-01       7.597208681812e+02 
       2.763367871231e-01       7.065478430401e+02 
       2.856128805309e-01       6.539547440601e+02 
       2.952158924385e-01       6.081423690811e+02 
       3.051626111909e-01       5.710609479458e+02 
       3.154718922124e-01       5.394244680945e+02 
       3.261650358600e-01       5.082542254067e+02 
       3.372662458022e-01       4.746481586501e+02 
       3.488031909594e-01       4.403864430082e+02 
       3.608077021238e-01       4.090317716027e+02 
       3.733166457798e-01       3.822799110762e+02 
       3.863730339830e-01       3.580439415026e+02 
       4.000274529746e-01       3.337672754352e+02 
       4.143399285751e-01       3.092808716578e+02 
       4.293823999897e-01       2.864396089033e+02 
       4.452420566722e-01       2.658732161156e+02 
       4.620259246691e-01       2.464466040895e+02 
       4.798673037780e-01       2.271959133781e+02 
       4.989350181030e-01       2.088605492636e+02 
       5.194470707474e-01       1.918414350705e+02 
       5.416914282045e-01       1.753091336561e+02 
       5.660588009166e-01       1.593146037809e+02 
       5.930965292408e-01       1.440205139759e+02 
       6.236015761018e-01       1.290355183378e+02 
       6.587904759211e-01       1.143797749020e+02 
       7.006315492442e-01       9.979230366128e+01 
       7.525461085357e-01       8.509586964535e+01 
       8.210079804976e-01       6.996751336141e+01 
       9.193237378170e-01       5.411768144533e+01 
       1.074684017740e+00       3.778985074242e+01 
       1.322179872172e+00       2.328374412295e+01 
       1.661679345453e+00       1.352189087117e+01 
       2.091875609933e+00       7.753268695837e+00 
       2.633515156926e+00       4.408723072581e+00 
       3.315399153289e+00       2.488547162303e+00 
       4.173840244316e+00       1.395227659396e+00 
       5.254553548339e+00       7.774344476548e-01 
