# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982894311e+01 
       1.318525239892e-05       5.930165108184e+01 
       1.659924930592e-05       7.408251749340e+01 
       2.089721676792e-05       9.254735007335e+01 
       2.630803722491e-05       1.156142062321e+02 
       3.311985659687e-05       1.444297902652e+02 
       4.169542910477e-05       1.804262728919e+02 
       5.249143525566e-05       2.253921041440e+02 
       6.608280174490e-05       2.815601195727e+02 
       8.319331839921e-05       3.517169966633e+02 
       1.047341826243e-04       4.393386486715e+02 
       1.318525239892e-04       5.487568670004e+02 
       1.659924930592e-04       6.853626434589e+02 
       2.089721676792e-04       8.558508898534e+02 
       2.630803722491e-04       1.068508893767e+03 
       3.311985659687e-04       1.333545618100e+03 
       4.169542910477e-04       1.663449963754e+03 
       5.249143525566e-04       2.073353867150e+03 
       6.608280174490e-04       2.581361919877e+03 
       8.319331839921e-04       3.208785594009e+03 
       1.047341826243e-03       3.980145066747e+03 
       1.318525239892e-03       4.922635577863e+03 
       1.659924930592e-03       6.064505812047e+03 
       2.089721676792e-03       7.432698256405e+03 
       2.630803722491e-03       9.047925662408e+03 
       3.311985659687e-03       1.091775787477e+04 
       4.169542910477e-03       1.302658332056e+04 
       5.249143525566e-03       1.532213402695e+04 
       6.608280174490e-03       1.769992883001e+04 
       8.319331839921e-03       1.998610767172e+04 
       1.047341826243e-02       2.192234265198e+04 
       1.318525239892e-02       2.317001522514e+04 
       1.659924930589e-02       2.334743212722e+04 
       2.089721660966e-02       2.214280204213e+04 
       2.630791517064e-02       1.951874054496e+04 
       3.310278266545e-02       1.595284299709e+04 
       4.112178767552e-02       1.260205161095e+04 
       4.790628827007e-02       1.073418812412e+04 
       5.282242665187e-02       9.824720873246e+03 
       5.687266276680e-02       9.260040616674e+03 
       6.048713924368e-02       8.838606410715e+03 
       6.385726918410e-02       8.475839315987e+03 
       6.708422356736e-02       8.131844959351e+03 
       7.022860457005e-02       7.784703678845e+03 
       7.333018959056e-02       7.423314142228e+03 
       7.641699559410e-02       7.045052768827e+03 
       7.950991500338e-02       6.652025853607e+03 
       8.262529000559e-02       6.250404128411e+03 
       8.577643711185e-02       5.849386206415e+03 
       8.897459779263e-02       5.459459307593e+03 
       9.222955666815e-02       5.091046370274e+03 
       9.555005766204e-02       4.753262187859e+03 
       9.894409227589e-02       4.453185344686e+03 
       1.024191040344e-01       4.195094980663e+03 
       1.059821362664e-01       3.979505025611e+03 
       1.096399405347e-01       3.803800497297e+03 
       1.133990570783e-01       3.661630776997e+03 
       1.172658749375e-01       3.543468695244e+03 
       1.212466770795e-01       3.437982470775e+03 
       1.253476743179e-01       3.332534887614e+03 
       1.295750308144e-01       3.215956631416e+03 
       1.339348832875e-01       3.079770378588e+03 
       1.384333556058e-01       2.921184006323e+03 
       1.430765701509e-01       2.743224153186e+03 
       1.478706571398e-01       2.554645673121e+03 
       1.528217629711e-01       2.367677831045e+03 
       1.579360585777e-01       2.195061277193e+03 
       1.632197487220e-01       2.046821604274e+03 
       1.686790831324e-01       1.927866599095e+03 
       1.743203703668e-01       1.836428512999e+03 
       1.801499952696e-01       1.764929517832e+03 
       1.861744408844e-01       1.702184584584e+03 
       1.924003156767e-01       1.635368026931e+03 
       1.988343869261e-01       1.554922577476e+03 
       2.054836211606e-01       1.459109174309e+03 
       2.123552325365e-01       1.354735837297e+03 
       2.194567401281e-01       1.252921195290e+03 
       2.267960351861e-01       1.163602684910e+03 
       2.343814595738e-01       1.091924570123e+03 
       2.422218968055e-01       1.036589480588e+03 
       2.503268774194e-01       9.898599073252e+02 
       2.587067008331e-01       9.419528614067e+02 
       2.673725763982e-01       8.870902711096e+02 
       2.763367871231e-01       8.260609752714e+02 
       2.856128805309e-01       7.654505790332e+02 
       2.952158924385e-01       7.126675156589e+02 
       3.051626111909e-01       6.699169579186e+02 
       3.154718922124e-01       6.334691699637e+02 
       3.261650358600e-01       5.974620195255e+02 
       3.372662458022e-01       5.584644903251e+02 
       3.488031909594e-01       5.186070192368e+02 
       3.608077021238e-01       4.820865993507e+02 
       3.733166457798e-01       4.508740675455e+02 
       3.863730339830e-01       4.225935630557e+02 
       4.000274529746e-01       3.942087060042e+02 
       4.143399285751e-01       3.655441573021e+02 
       4.293823999897e-01       3.387584478763e+02 
       4.452420566722e-01       3.146092643043e+02 
       4.620259246691e-01       2.917946576942e+02 
       4.798673037780e-01       2.691477670737e+02 
       4.989350181030e-01       2.475345571501e+02 
       5.194470707474e-01       2.274860977354e+02 
       5.416914282045e-01       2.079854212518e+02 
       5.660588009166e-01       1.890819127489e+02 
       5.930965292408e-01       1.710084287697e+02 
       6.236015761018e-01       1.532792205305e+02 
       6.587904759211e-01       1.359278784297e+02 
       7.006315492442e-01       1.186428396036e+02 
       7.525461085357e-01       1.012142889666e+02 
       8.210079804976e-01       8.325784102410e+01 
       9.193237378170e-01       6.442825788404e+01 
       1.074684017740e+00       4.501245764904e+01 
       1.322179872172e+00       2.774660476541e+01 
       1.661679345453e+00       1.612112852205e+01 
       2.091875609933e+00       9.244834942245e+00 
       2.633515156926e+00       5.257898102854e+00 
       3.315399153289e+00       2.968056341705e+00 
       4.173840244316e+00       1.664155577529e+00 
       5.254553548339e+00       9.273126975866e-01 
