# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982998546e+01 
       1.318525239892e-05       5.930165314176e+01 
       1.659924930592e-05       7.408252157290e+01 
       2.089721676792e-05       9.254735815810e+01 
       2.630803722491e-05       1.156142222253e+02 
       3.311985659687e-05       1.444298219333e+02 
       4.169542910477e-05       1.804263356036e+02 
       5.249143525566e-05       2.253922283353e+02 
       6.608280174490e-05       2.815603654010e+02 
       8.319331839921e-05       3.517174833664e+02 
       1.047341826243e-04       4.393396122418e+02 
       1.318525239892e-04       5.487587745277e+02 
       1.659924930592e-04       6.853664190979e+02 
       2.089721676792e-04       8.558583623272e+02 
       2.630803722491e-04       1.068523679213e+03 
       3.311985659687e-04       1.333574862160e+03 
       4.169542910477e-04       1.663507773907e+03 
       5.249143525566e-04       2.073468053836e+03 
       6.608280174490e-04       2.581587189148e+03 
       8.319331839921e-04       3.209229263605e+03 
       1.047341826243e-03       3.981016849570e+03 
       1.318525239892e-03       4.924343082307e+03 
       1.659924930592e-03       6.067835661625e+03 
       2.089721676792e-03       7.439153761227e+03 
       2.630803722491e-03       9.060342106769e+03 
       3.311985659687e-03       1.094138817976e+04 
       4.169542910477e-03       1.307092682058e+04 
       5.249143525566e-03       1.540380959447e+04 
       6.608280174490e-03       1.784659392956e+04 
       8.319331839921e-03       2.024081062023e+04 
       1.047341826243e-02       2.234528145184e+04 
       1.318525239892e-02       2.383028324832e+04 
       1.659924930589e-02       2.429495550730e+04 
       2.089721660966e-02       2.336021986391e+04 
       2.630791517064e-02       2.087627222180e+04 
       3.310278266545e-02       1.724215510716e+04 
       4.112178767552e-02       1.367108988584e+04 
       4.790628827007e-02       1.162179567299e+04 
       5.282242665187e-02       1.060212266364e+04 
       5.687266276680e-02       9.958631543637e+03 
       6.048713924368e-02       9.472948683188e+03 
       6.385726918410e-02       9.053836645012e+03 
       6.708422356736e-02       8.658085589074e+03 
       7.022860457005e-02       8.261806810484e+03 
       7.333018959056e-02       7.853394081343e+03 
       7.641699559410e-02       7.429739238998e+03 
       7.950991500338e-02       6.993513191642e+03 
       8.262529000559e-02       6.551643295816e+03 
       8.577643711185e-02       6.113264221376e+03 
       8.897459779263e-02       5.689629432107e+03 
       9.222955666815e-02       5.290335029271e+03 
       9.555005766204e-02       4.925733701811e+03 
       9.894409227589e-02       4.602383614055e+03 
       1.024191040344e-01       4.324248001669e+03 
       1.059821362664e-01       4.091515023501e+03 
       1.096399405347e-01       3.901246239019e+03 
       1.133990570783e-01       3.746201809105e+03 
       1.172658749375e-01       3.616885766687e+03 
       1.212466770795e-01       3.501211199106e+03 
       1.253476743179e-01       3.386400585713e+03 
       1.295750308144e-01       3.260993361414e+03 
       1.339348832875e-01       3.116514248432e+03 
       1.384333556058e-01       2.950202976478e+03 
       1.430765701509e-01       2.765212163009e+03 
       1.478706571398e-01       2.570425344282e+03 
       1.528217629711e-01       2.378130656054e+03 
       1.579360585777e-01       2.201049311476e+03 
       1.632197487220e-01       2.049102514151e+03 
       1.686790831324e-01       1.927044655688e+03 
       1.743203703668e-01       1.832950185092e+03 
       1.801499952696e-01       1.759111337889e+03 
       1.861744408844e-01       1.694305164470e+03 
       1.924003156767e-01       1.625723379579e+03 
       1.988343869261e-01       1.543900556887e+03 
       2.054836211606e-01       1.447083442269e+03 
       2.123552325365e-01       1.342100964636e+03 
       2.194567401281e-01       1.239946720980e+03 
       2.267960351861e-01       1.150448752128e+03 
       2.343814595738e-01       1.078549034549e+03 
       2.422218968055e-01       1.022988520206e+03 
       2.503268774194e-01       9.760976616417e+02 
       2.587067008331e-01       9.280756730810e+02 
       2.673725763982e-01       8.733822967302e+02 
       2.763367871231e-01       8.127155780348e+02 
       2.856128805309e-01       7.525749303117e+02 
       2.952158924385e-01       7.002457340029e+02 
       3.051626111909e-01       6.578427548705e+02 
       3.154718922124e-01       6.217113284812e+02 
       3.261650358600e-01       5.860936708472e+02 
       3.372662458022e-01       5.475367438661e+02 
       3.488031909594e-01       5.082189957970e+02 
       3.608077021238e-01       4.722160733150e+02 
       3.733166457798e-01       4.414580043955e+02 
       3.863730339830e-01       4.136007612130e+02 
       4.000274529746e-01       3.856765901051e+02 
       4.143399285751e-01       3.574973596377e+02 
       4.293823999897e-01       3.311938526144e+02 
       4.452420566722e-01       3.074821246000e+02 
       4.620259246691e-01       2.850940389293e+02 
       4.798673037780e-01       2.628933427186e+02 
       4.989350181030e-01       2.417108873255e+02 
       5.194470707474e-01       2.220737508701e+02 
       5.416914282045e-01       2.029883317724e+02 
       5.660588009166e-01       1.844901837114e+02 
       5.930965292408e-01       1.668174465560e+02 
       6.236015761018e-01       1.494852218416e+02 
       6.587904759211e-01       1.325323299156e+02 
       7.006315492442e-01       1.156520063385e+02 
       7.525461085357e-01       9.863924536403e+01 
       8.210079804976e-01       8.111931232529e+01 
       9.193237378170e-01       6.275671154513e+01 
       1.074684017740e+00       4.383230515114e+01 
       1.322179872172e+00       2.701208434424e+01 
       1.661679345453e+00       1.569128772284e+01 
       2.091875609933e+00       8.997594561899e+00 
       2.633515156926e+00       5.116819679680e+00 
       3.315399153289e+00       2.888324027012e+00 
       4.173840244316e+00       1.619399000951e+00 
       5.254553548339e+00       9.023740594666e-01 
