# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.25455 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746982975598e+01 
       1.318525239892e-05       5.930165268826e+01 
       1.659924930592e-05       7.408252067478e+01 
       2.089721676792e-05       9.254735637821e+01 
       2.630803722491e-05       1.156142187043e+02 
       3.311985659687e-05       1.444298149614e+02 
       4.169542910477e-05       1.804263217973e+02 
       5.249143525566e-05       2.253922009940e+02 
       6.608280174490e-05       2.815603112807e+02 
       8.319331839921e-05       3.517173762162e+02 
       1.047341826243e-04       4.393394001066e+02 
       1.318525239892e-04       5.487583545742e+02 
       1.659924930592e-04       6.853655878652e+02 
       2.089721676792e-04       8.558567172008e+02 
       2.630803722491e-04       1.068520424043e+03 
       3.311985659687e-04       1.333568423675e+03 
       4.169542910477e-04       1.663495045885e+03 
       5.249143525566e-04       2.073442912440e+03 
       6.608280174490e-04       2.581537586713e+03 
       8.319331839921e-04       3.209131561556e+03 
       1.047341826243e-03       3.980824841118e+03 
       1.318525239892e-03       4.923966918420e+03 
       1.659924930592e-03       6.067101799274e+03 
       2.089721676792e-03       7.437730157370e+03 
       2.630803722491e-03       9.057601289172e+03 
       3.311985659687e-03       1.093616399904e+04 
       4.169542910477e-03       1.306109983879e+04 
       5.249143525566e-03       1.538564201800e+04 
       6.608280174490e-03       1.781378389055e+04 
       8.319331839921e-03       2.018333997879e+04 
       1.047341826243e-02       2.224871900291e+04 
       1.318525239892e-02       2.367691623642e+04 
       1.659924930589e-02       2.407002281051e+04 
       2.089721660966e-02       2.306457876531e+04 
       2.630791517064e-02       2.054242046123e+04 
       3.310278266545e-02       1.693050698508e+04 
       4.112178767552e-02       1.343459869077e+04 
       4.790628827007e-02       1.145372254540e+04 
       5.282242665187e-02       1.048015010935e+04 
       5.687266276680e-02       9.871795967652e+03 
       6.048713924368e-02       9.415761086243e+03 
       6.385726918410e-02       9.022744799505e+03 
       6.708422356736e-02       8.650297828505e+03 
       7.022860457005e-02       8.274904436792e+03 
       7.333018959056e-02       7.884990747987e+03 
       7.641699559410e-02       7.477465748768e+03 
       7.950991500338e-02       7.054933698144e+03 
       8.262529000559e-02       6.624398783181e+03 
       8.577643711185e-02       6.195173530814e+03 
       8.897459779263e-02       5.778260560510e+03 
       9.222955666815e-02       5.384743116023e+03 
       9.555005766204e-02       5.024345496481e+03 
       9.894409227589e-02       4.704299477895e+03 
       1.024191040344e-01       4.428903793506e+03 
       1.059821362664e-01       4.199103963480e+03 
       1.096399405347e-01       4.011405870425e+03 
       1.133990570783e-01       3.859376502891e+03 
       1.172658749375e-01       3.732811694801e+03 
       1.212466770795e-01       3.619913403749e+03 
       1.253476743179e-01       3.507132171012e+03 
       1.295750308144e-01       3.382871624847e+03 
       1.339348832875e-01       3.238212902996e+03 
       1.384333556058e-01       3.070166741178e+03 
       1.430765701509e-01       2.881930184831e+03 
       1.478706571398e-01       2.682788911044e+03 
       1.528217629711e-01       2.485573461780e+03 
       1.579360585777e-01       2.303559748474e+03 
       1.632197487220e-01       2.147299360212e+03 
       1.686790831324e-01       2.021804391826e+03 
       1.743203703668e-01       1.925371669497e+03 
       1.801499952696e-01       1.849870036525e+03 
       1.861744408844e-01       1.783570932131e+03 
       1.924003156767e-01       1.713202754166e+03 
       1.988343869261e-01       1.628461559505e+03 
       2.054836211606e-01       1.527762852900e+03 
       2.123552325365e-01       1.418145537618e+03 
       2.194567401281e-01       1.311332950955e+03 
       2.267960351861e-01       1.217618674756e+03 
       2.343814595738e-01       1.142388490868e+03 
       2.422218968055e-01       1.084315176363e+03 
       2.503268774194e-01       1.035231495888e+03 
       2.587067008331e-01       9.849776179542e+02 
       2.673725763982e-01       9.274801154973e+02 
       2.763367871231e-01       8.635460642437e+02 
       2.856128805309e-01       8.000921247124e+02 
       2.952158924385e-01       7.448431111054e+02 
       3.051626111909e-01       7.000675014561e+02 
       3.154718922124e-01       6.619138614863e+02 
       3.261650358600e-01       6.242253797362e+02 
       3.372662458022e-01       5.834165085661e+02 
       3.488031909594e-01       5.417278431433e+02 
       3.608077021238e-01       5.035408493972e+02 
       3.733166457798e-01       4.709199082421e+02 
       3.863730339830e-01       4.413312387899e+02 
       4.000274529746e-01       4.116510652504e+02 
       4.143399285751e-01       3.816923737818e+02 
       4.293823999897e-01       3.537039856173e+02 
       4.452420566722e-01       3.284705003398e+02 
       4.620259246691e-01       3.046277881062e+02 
       4.798673037780e-01       2.809876062406e+02 
       4.989350181030e-01       2.583933996923e+02 
       5.194470707474e-01       2.374646259732e+02 
       5.416914282045e-01       2.171010866219e+02 
       5.660588009166e-01       1.973471445476e+02 
       5.930965292408e-01       1.784870082517e+02 
       6.236015761018e-01       1.599650908941e+02 
       6.587904759211e-01       1.418505504577e+02 
       7.006315492442e-01       1.238065573557e+02 
       7.525461085357e-01       1.056146440586e+02 
       8.210079804976e-01       8.687340222417e+01 
       9.193237378170e-01       6.722271931603e+01 
       1.074684017740e+00       4.696227345453e+01 
       1.322179872172e+00       2.894706880455e+01 
       1.661679345453e+00       1.681813639270e+01 
       2.091875609933e+00       9.644309810771e+00 
       2.633515156926e+00       5.485050392351e+00 
       3.315399153289e+00       3.096221423561e+00 
       4.173840244316e+00       1.736019385332e+00 
       5.254553548339e+00       9.673737927271e-01 
