# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.368453779285e-10       4.156483086590e-15       3.514295540683e-13       0.000000000000e+00       8.244751573559e-09       4.478297881990e-10      -1.835998492964e-12 
    3       1.295325497204e-10       5.336164665228e-15       3.947041751438e-13       0.000000000000e+00       5.059131172076e-09       3.164208952122e-10      -1.391810863340e-12 
    4       1.226136750848e-10       4.624226599819e-15       3.690655526667e-13       0.000000000000e+00       3.499677454546e-09       2.388229888073e-10      -9.125739605887e-13 
    5       1.174280994239e-10       3.090702680645e-15       3.143566733577e-13       0.000000000000e+00       2.601563978984e-09       1.880299677477e-10      -5.085546105106e-13 
    6       1.138661732451e-10       1.730466244616e-15       2.532521621185e-13       0.000000000000e+00       2.025308427917e-09       1.525116795985e-10      -2.103446534901e-13 
    7       1.115987918430e-10       9.346750006223e-16       1.988989406679e-13       0.000000000000e+00       1.629077767993e-09       1.265711670398e-10      -1.967595124248e-14 
    8       1.102711000410e-10       6.017941790169e-16       1.570665920296e-13       0.000000000000e+00       1.342929623533e-09       1.069521185701e-10       7.806596100544e-14 
    9       1.096526579681e-10       4.825721883056e-16       1.290196874252e-13       0.000000000000e+00       1.128383199890e-09       9.166465526898e-11       1.058975418150e-13 
   10       1.095555489292e-10       4.112881546432e-16       1.134342153760e-13       0.000000000000e+00       9.626851247979e-10       7.950980339289e-11       8.942946540790e-14 
   11       1.098621320288e-10       3.452827119835e-16       1.077078712003e-13       0.000000000000e+00       8.240542535799e-10       7.048722111742e-11       5.256012530565e-14 
   12       1.105177534212e-10       2.999515667272e-16       1.088383017067e-13       0.000000000000e+00       7.198471029567e-10       6.233219761232e-11       1.299400956816e-14 
