# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.368458423906e-10       4.156711864878e-15       3.514295503061e-13       2.287782299098e-19       8.244751573559e-09       4.478297881990e-10      -1.835998492964e-12 
    3       1.295334763669e-10       5.336622307310e-15       3.947041583643e-13       4.576415158707e-19       5.059131172076e-09       3.164208952122e-10      -1.391810863340e-12 
    4       1.226152144968e-10       4.624989526115e-15       3.690655044028e-13       7.629235115073e-19       3.499677454546e-09       2.388229888073e-10      -9.125739605887e-13 
    5       1.174303993181e-10       3.091847424042e-15       3.143565632672e-13       1.144733864104e-18       2.601563978984e-09       1.880299677477e-10      -5.085546105106e-13 
    6       1.138693779009e-10       1.732069477072e-15       2.532519453185e-13       1.603206461580e-18       2.025308427917e-09       1.525116795985e-10      -2.103446534901e-13 
    7       1.116030416177e-10       9.368135585275e-16       1.988985552572e-13       2.138497426356e-18       1.629077767993e-09       1.265711670398e-10      -1.967595124248e-14 
    8       1.102765309836e-10       6.045450868547e-16       1.570659568295e-13       2.750782812214e-18       1.342929623533e-09       1.069521185701e-10       7.806596100544e-14 
    9       1.096594015376e-10       4.860126800980e-16       1.290186999630e-13       3.440256056279e-18       1.128383199890e-09       9.166465526898e-11       1.058975418150e-13 
   10       1.095637318222e-10       4.154956925680e-16       1.134327501309e-13       4.207125243273e-18       9.626851247979e-10       7.950980339289e-11       8.942946540790e-14 
   11       1.098718761144e-10       3.503350015132e-16       1.077057781258e-13       5.051610242582e-18       8.240542535799e-10       7.048722111742e-11       5.256012530565e-14 
   12       1.105291757800e-10       3.059265676085e-16       1.088354050390e-13       5.973939780582e-18       7.198471029567e-10       6.233219761232e-11       1.299400956816e-14 
   13       1.114154805684e-10       2.937255613918e-16       1.140773189097e-13       6.974348510816e-18       6.343160306253e-10       5.558666642428e-11      -1.749731273713e-14 
   14       1.124532290840e-10       3.060793158041e-16       1.214282134785e-13       8.053074143192e-18       5.631691534346e-10       4.969556007363e-11      -3.431341434245e-14 
   15       1.136683727224e-10       3.311050281770e-16       1.296238393651e-13       9.210354690330e-18       5.032983899887e-10       4.474055561306e-11      -3.760467798635e-14 
   16       1.150689993393e-10       3.660865497911e-16       1.379428103346e-13       1.044642588465e-17       4.524046018059e-10       4.054790313340e-11      -3.122915192818e-14 
   17       1.165248933326e-10       4.163671431752e-16       1.462617056398e-13       1.176151881388e-17       4.087547999848e-10       3.693521119676e-11      -2.032571829841e-14 
   18       1.180834037285e-10       4.874275873716e-16       1.547535349784e-13       1.315585773513e-17       3.708809250452e-10       3.369563125103e-11      -9.873591632124e-15 
   19       1.197598746048e-10       5.797691602094e-16       1.636147019957e-13       1.462965866386e-17       3.381677046689e-10       3.082463915334e-11      -2.472029874041e-15 
   20       1.214850483788e-10       6.915708837144e-16       1.730080720190e-13       1.618312697029e-17       3.093645480119e-10       2.832095460599e-11       2.067149876112e-16 
   21       1.232727728148e-10       8.220912228217e-16       1.829188335741e-13       1.781645751535e-17       2.840159382923e-10       2.614663954974e-11      -1.300685392276e-15 
   22       1.251308554884e-10       9.706608858189e-16       1.931940352254e-13       1.952983219524e-17       2.615091665351e-10       2.421212342381e-11      -5.310617463205e-15 
   23       1.270491471000e-10       1.137539240557e-15       2.035007967327e-13       2.132342162613e-17       2.415412978312e-10       2.247280805281e-11      -1.014262081851e-14 
   24       1.289935917315e-10       1.323095189348e-15       2.134014407353e-13       2.319738226355e-17       2.236547776246e-10       2.088040921126e-11      -1.399735297288e-14 
   25       1.309756591763e-10       1.527448394066e-15       2.225829213734e-13       2.515185872071e-17       2.076057811264e-10       1.943284625345e-11      -1.603939470144e-14 
   26       1.330067735375e-10       1.750796059923e-15       2.307817149634e-13       2.718698179352e-17       1.930790159739e-10       1.812929245646e-11      -1.588082136875e-14 
   27       1.350944847021e-10       1.994725090262e-15       2.379232071919e-13       2.930287494750e-17       1.799984420535e-10       1.696355723099e-11      -1.398108220969e-14 
   28       1.372269281222e-10       2.261491342325e-15       2.440142138440e-13       3.149964774697e-17       1.682047855565e-10       1.591179499978e-11      -1.128296350315e-14 
   29       1.393783204788e-10       2.553393060760e-15       2.490949089243e-13       3.377739605699e-17       1.574107046246e-10       1.493905763557e-11      -8.851405285076e-15 
   30       1.415557716150e-10       2.871596143835e-15       2.532260337370e-13       3.613621400050e-17       1.475561963320e-10       1.404401597327e-11      -7.104929146335e-15 
   31       1.437674852181e-10       3.216837097742e-15       2.565016549723e-13       3.857618531056e-17       1.385676664802e-10       1.322973891206e-11      -6.292400686676e-15 
