# Matter power spectrum P(k) at redshift z=0
# for k=1.04734e-05 to 5.37455 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826243e-05       4.746983000129e+01 
       2.340509133039e-05       1.032608644803e+02 
       3.638255171321e-05       1.581583678516e+02 
       4.944099241444e-05       2.127218364069e+02 
       6.261619266266e-05       2.672751076339e+02 
       7.594483945248e-05       3.220642343182e+02 
       8.946485943881e-05       3.773018527801e+02 
       1.032157656311e-04       4.331854234932e+02 
       1.172390233673e-04       4.899066516488e+02 
       1.315784400831e-04       5.476572409368e+02 
       1.462805833929e-04       6.066329485392e+02 
       1.613952319400e-04       6.670367718724e+02 
       1.769758632773e-04       7.290817135612e+02 
       1.930801826544e-04       7.929933216347e+02 
       2.097706958892e-04       8.590121549154e+02 
       2.271153283690e-04       9.273962279079e+02 
       2.451880904720e-04       9.984234725355e+02 
       2.640697870984e-04       1.072394229694e+03 
       2.838487652622e-04       1.149633749670e+03 
       3.046216884792e-04       1.230494650002e+03 
       3.264943195889e-04       1.315359256241e+03 
       3.495822842595e-04       1.404641707265e+03 
       3.740117753512e-04       1.498789649051e+03 
       3.999201433039e-04       1.598285309316e+03 
       4.274562998323e-04       1.703645630727e+03 
       4.567808420559e-04       1.815421159789e+03 
       4.880657832613e-04       1.934193189421e+03 
       5.214937575734e-04       2.060568751034e+03 
       5.572565533259e-04       2.195172898784e+03 
       5.955528301403e-04       2.338637860634e+03 
       6.365848954271e-04       2.491588689154e+03 
       6.805544654285e-04       2.654625321019e+03 
       7.276574203516e-04       2.828301255115e+03 
       7.780776836650e-04       3.013099604937e+03 
       8.319805040529e-04       3.209407775060e+03 
       8.895055744813e-04       3.417492625722e+03 
       9.507605540570e-04       3.637478331551e+03 
       1.015815626381e-03       3.869329396418e+03 
       1.084699699451e-03       4.112841071173e+03 
       1.157398712256e-03       4.367638511505e+03 
       1.233856276690e-03       4.633185622897e+03 
       1.313976594605e-03       4.908802641742e+03 
       1.397629310932e-03       5.193664662110e+03 
       1.484655754514e-03       5.486892306403e+03 
       1.574875916548e-03       5.787550299846e+03 
       1.668095528534e-03       6.094660752396e+03 
       1.764112704780e-03       6.407243119125e+03 
       1.862723770004e-03       6.724336751521e+03 
       1.963728059948e-03       7.045018440747e+03 
       2.066931631206e-03       7.368416089138e+03 
       2.172149928423e-03       7.693717255333e+03 
       2.279209528430e-03       8.020173492805e+03 
       2.387949116064e-03       8.347103561464e+03 
       2.498219854210e-03       8.673890543805e+03 
       2.609885300385e-03       8.999981754195e+03 
       2.722821002213e-03       9.324883604659e+03 
       2.836913880374e-03       9.648158531376e+03 
       2.952061484131e-03       9.969419606503e+03 
       3.068171183325e-03       1.028832644213e+04 
       3.185159343000e-03       1.060458165082e+04 
       3.302950512498e-03       1.091792466539e+04 
       3.421476649869e-03       1.122813080063e+04 
       3.540676394202e-03       1.153500122002e+04 
       3.660494392557e-03       1.183836882946e+04 
       3.780880683954e-03       1.213808880177e+04 
       3.901790140116e-03       1.243403856660e+04 
       4.023181960785e-03       1.272611309581e+04 
       4.145019220377e-03       1.301422421575e+04 
       4.267268462130e-03       1.329830205216e+04 
       4.389899335657e-03       1.357828527023e+04 
       4.512884273847e-03       1.385413067100e+04 
       4.636198205150e-03       1.412579623763e+04 
       4.759818297556e-03       1.439324193465e+04 
       4.883723730839e-03       1.465645427295e+04 
       5.007895493937e-03       1.491546002369e+04 
       5.132316204640e-03       1.517021140971e+04 
       5.256969949060e-03       1.542066962881e+04 
       5.381842138607e-03       1.566699236713e+04 
       5.506919382463e-03       1.590908557337e+04 
       5.632189373777e-03       1.614693883236e+04 
       5.757640787991e-03       1.637986329758e+04 
       5.883263191922e-03       1.660933113766e+04 
       6.009046962350e-03       1.683461120941e+04 
       6.134983213060e-03       1.705572066380e+04 
       6.261063729350e-03       1.727286074061e+04 
       6.387280909203e-03       1.748600122779e+04 
       6.513627710347e-03       1.769530773371e+04 
       6.640097602580e-03       1.790006366771e+04 
       6.766684524772e-03       1.810090736226e+04 
       6.893382846031e-03       1.829785380542e+04 
       7.020187330602e-03       1.849090341874e+04 
